ime,ocena_ign
World of Warcraft: Legion,9.1
Fallout 4: Nuka-World,7.9
Master of Orion,7.1
Grow Up,7.8
StarCraft II: Nova Covert Ops - Mission Pack 2,6.4
Batman: The Telltale Series - Episode 1: Realm of Shadows,7.5
Human: Fall Flat,7.9
Starbound,9.1
Fallout 4: Vault-Tec Workshop,8.2
Quadrilateral Cowboy,8.5
Kentucky Route Zero - Act IV,8.5
Ghostbusters,4.4
Necropolis,6.5
Furi,6.8
The Technomancer,4.9
Edge of Nowhere,6.7
Overwatch,9.4
Salt and Sanctuary,8.6
Fallout 4: Far Harbor,8.3
XCOM 2 - Alien Hunters,7.7
Total War: WARHAMMER,8.6
DOOM,7.1
Stellaris,6.3
The Walking Dead: Michonne - Episode 3: What We Deserve,6.3
Battlefleet Gothic: Armada,7.1
The Banner Saga 2,8.9
Fallout 4: Wasteland Workshop,5.5
Hyper Light Drifter,7.6
StarCraft II: Nova Covert Ops - Mission Pack 1,6.2
Enter the Gungeon,8.5
The Walking Dead: Michonne - Episode 2: Give No Shelter,7.2
Ashes of the Singularity,7.7
Stardew Valley,8.8
Fallout 4: Automatron,7.5
Day of the Tentacle Remastered,8.8
Grim Dawn,8.7
The Flame in the Flood,7.3
Devil Daggers,8.5
SUPERHOT,7.5
Layers of Fear,5.8
Dying Light: The Following,8.8
XCOM 2,9.3
Bombshell,6.9
Darkest Dungeon,9.1
Homeworld: Deserts of Kharak,8.8
Tharsis,4.8
Gemini: Heroes Reborn,6.4
Resident Evil 0: HD Remaster,6.5
Punch Club,6.5
Oxenfree,8.2
King's Quest Chapter 2: Rubble Without a Cause,6.7
DiRT Rally,8.9
Star Wars: The Old Republic - Knights of the Fallen Empire,6.5
Starcraft II: Legacy of the Void,8.9
Hard West,7.3
Game of Thrones: Episode Six - The Ice Dragon,6.7
Guild Wars 2: Heart of Thorns,7.6
Lovers in a Dangerous Spacetime,8.5
Warhammer: End Times - Vermintide,7.2
Sword Coast Legends,5.5
Kingdom,7.7
BROFORCE,8.8
Minecraft: Story Mode - Episode 1: The Order of the Stone,7.3
Sid Meier's Civilization: Beyond Earth - Rising Tide,7.1
Prison Architect,8.3
