"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"4","Call of Duty: Modern Warfare 2","Nov 11, 2009","$19.99","81% (91%/86%)","4,918,653 ±56,965","23:21"
"6","Call of Duty: Modern Warfare 2 - Multiplayer","Nov 11, 2009","$19.99","81% (91%/86%)","4,918,653 ±56,965","147:51"
"9","Call of Duty: Black Ops - Multiplayer","Nov 9, 2010","$39.99","N/A (N/A/81%)","3,455,839 ±47,856","77:41"
"10","Call of Duty: Black Ops","Nov 9, 2010","$39.99","72% (88%/81%)","3,455,839 ±47,856","24:04"
"39","Call of Duty: Modern Warfare 3","Nov 8, 2011","$39.99","N/A (N/A)","3,283,310 ±46,658","23:21"
"66","Call of Duty: Modern Warfare 3 - Multiplayer","Nov 8, 2011","$39.99","N/A (N/A)","3,283,310 ±46,658","112:28"
"21","Call of Duty: Black Ops II","Nov 12, 2012","$59.99","61% (84%/74%)","2,897,750 ±43,859","08:50"
"23","Call of Duty: Black Ops II - Multiplayer","Nov 12, 2012","$59.99","N/A (N/A/74%)","2,897,750 ±43,859","88:10"
"25","Call of Duty: Ghosts - Multiplayer","Mar 25, 2014","$59.99","N/A (N/A/68%)","1,391,278 ±30,460","37:23"
"27","Call of Duty: Ghosts","Mar 25, 2014","$59.99","15% (56%/68%)","1,391,278 ±30,460","08:26"
"7","Call of Duty: World at War","Nov 18, 2008","$19.99","88% (93%/83%)","1,389,700 ±30,443","35:42"
"51","Call of Duty: Black Ops III","Nov 5, 2015","$59.99","15% (56%)","1,231,022 ±28,659","68:32"
"14","Call of Duty: Advanced Warfare - Multiplayer","Nov 3, 2014","$59.99","N/A (N/A/78%)","1,016,588 ±26,052","36:19"
"15","Call of Duty: Advanced Warfare","Nov 3, 2014","$59.99","22% (62%/78%)","1,016,588 ±26,052","08:27"
"1","Call of Duty 4: Modern Warfare","Nov 12, 2007","$19.99","81% (91%/92%)","984,677 ±25,641","25:33"
"11","Vampire: The Masquerade - Bloodlines","Mar 22, 2007","$19.99","90% (94%/80%)","513,554 ±18,531","14:54"
"16","PROTOTYPE 2","Jul 24, 2012","$39.99","28% (67%/76%)","451,135 ±17,370","15:30"
"13","Prototype","Jun 10, 2009","$19.99","54% (81%/79%)","426,939 ±16,898","12:13"
"29","Deadpool","Jun 25, 2013","$39.99","78% (90%/63%)","303,328 ±14,246","08:03"
"5","Call of Duty 2","Oct 13, 2006","$19.99","78% (90%/86%)","284,743 ±13,803","14:37"
"20","Transformers: War for Cybertron","Jun 22, 2010","$19.99","75% (89%/75%)","224,954 ±12,270","10:21"
"58","The Legend of Korra","Oct 21, 2014","$14.99","59% (83%)","205,842 ±11,737","06:02"
"2","Call of Duty","Oct 13, 2006","$19.99","84% (92%/91%)","201,634 ±11,617","08:05"
"50","Transformers: Fall of Cybertron","Aug 20, 2012","$49.99","81% (91%)","179,542 ±10,962","20:49"
"3","Call of Duty: United Offensive","Oct 13, 2006","$19.99","66% (86%/87%)","167,795 ±10,598","09:24"
"18","Geometry Wars: Retro Evolved","Jun 18, 2007","$3.99","81% (91%/76%)","152,190 ±10,093","01:46"
"17","Singularity","Jun 30, 2010","$29.99","84% (92%/76%)","133,955 ±9,469","06:42"
"57","The Amazing Spider-Man","Sep 25, 2012","$39.99","36% (72%)","130,799 ±9,357","12:28"
"55","Tony Hawk's Pro Skater HD","Sep 18, 2012","$9.99","20% (61%)","118,000 ±8,888","06:00"
"24","TimeShift","Jul 23, 2009","$19.99","54% (81%/71%)","97,135 ±8,064","03:42"
"30","The Amazing Spider-Man 2","Apr 29, 2014","$39.99","26% (66%/57%)","92,927 ±7,887","12:57"
"42","Geometry Wars 3: Dimensions","Nov 25, 2014","$14.99","81% (91%)","83,459 ±7,475","05:18"
"37","Space Quest Collection","Jul 23, 2009","$19.99","34% (71%)","80,303 ±7,332","03:43"
"31","The Walking Dead: Survival Instinct","Mar 19, 2013","$49.99","11% (50%/38%)","73,816 ±7,030","08:57"
"64","King's Quest Collection","Jul 23, 2009","$19.99","36% (72%)","61,192 ±6,401","03:52"
"19","GUN","Oct 13, 2006","$19.99","75% (89%/76%)","56,633 ±6,158","04:38"
"54","Teenage Mutant Ninja Turtles: Out of the Shadows","Aug 28, 2013","$14.99","13% (53%)","51,022 ±5,845","05:44"
"40","Police Quest Collection","Aug 29, 2016","$9.99","N/A (N/A)","50,672 ±5,825","00:55"
"38","TRANSFORMERS: Devastation","Oct 6, 2015","$49.99","88% (93%)","50,321 ±5,804","05:50"
"62","Phantasmagoria","Aug 29, 2016","$9.99","N/A (N/A)","49,444 ±5,754","01:48"
"35","Phantasmagoria 2","Aug 29, 2016","$5.99","N/A (N/A)","48,217 ±5,682","00:16"
"33","Cabela's Big igra Hunter Pro Hunts","Mar 25, 2014","$14.99","39% (74%)","38,574 ±5,082","13:14"
"8","Arcanum","Aug 29, 2016","$5.99","N/A (N/A/81%)","36,119 ±4,918","03:52"
"53","Quest for Glory Collection","Aug 29, 2016","$9.99","N/A (N/A)","34,366 ±4,797","06:35"
"12","Gabriel Knight 3: Blood of the Sacred, Blood of the Damned","Aug 29, 2016","$5.99","N/A (N/A/80%)","32,612 ±4,673","00:05"
"22","Caesar 4","Aug 29, 2016","$9.99","N/A (N/A/74%)","32,612 ±4,673","05:08"
