"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"1","The Elder Scrolls V: Skyrim","Nov 10, 2011","$19.99","88% (93%/94%)","10,743,433 ±83,432","112:21"
"11","Fallout: New Vegas","Oct 19, 2010","$9.99","93% (95%/84%)","4,384,760 ±53,828","58:44"
"10","Fallout 4","Nov 9, 2015","$59.99","48% (78%/84%)","3,426,383 ±47,653","101:25"
"5","Dishonored","Oct 8, 2012","$9.99","98% (97%/91%)","2,570,751 ±41,331","17:22"
"22","Quake Live","Sep 17, 2014","$9.99","56% (82%)","2,543,925 ±41,116","06:33"
"4","Fallout 3 - igra of the Year Edition","Dec 17, 2009","$19.99","59% (83%/91%)","2,210,439 ±38,346","17:59"
"2","The Elder Scrolls IV: Oblivion","Jun 16, 2009","$14.99","93% (95%/94%)","1,613,075 ±32,787","29:17"
"15","RAGE","Oct 3, 2011","$9.99","46% (77%/79%)","1,274,154 ±29,155","17:20"
"13","Wolfenstein: The New Order","May 19, 2014","$19.99","59% (83%/81%)","1,228,918 ±28,635","18:23"
"6","The Elder Scrolls III: Morrowind","Jun 16, 2009","$14.99","93% (95%/89%)","1,044,466 ±26,406","15:57"
"9","DOOM","May 12, 2016","$59.99","78% (90%/85%)","1,023,251 ±26,137","16:22"
"8","Fallout 2","Aug 19, 2009","$9.99","88% (93%/86%)","818,636 ±23,385","11:16"
"7","Fallout","Aug 19, 2009","$9.99","88% (93%/89%)","789,355 ±22,964","05:59"
"3","Fallout 3","Oct 28, 2008","$9.99","54% (81%/91%)","729,391 ±22,077","16:30"
"12","Fallout Tactics","Aug 19, 2009","$9.99","64% (85%/82%)","707,123 ±21,738","05:43"
"24","The Elder Scrolls Online: Tamriel Unlimited","Mar 17, 2015","$29.99","43% (76%)","631,203 ±20,540","58:56"
"18","BRINK","May 9, 2011","$7.99","20% (61%/70%)","610,163 ±20,196","10:55"
"23","DOOM 3: BFG Edition","Oct 15, 2012","$19.99","56% (82%)","552,829 ±19,225","08:22"
"19","The Evil Within","Oct 13, 2014","$19.99","48% (78%/68%)","466,565 ±17,664","12:02"
"16","Wolfenstein: The Old Blood","May 4, 2015","$19.99","61% (84%/76%)","394,502 ±16,244","14:21"
"17","Call of Cthulhu: Dark Corners of the Earth","Jun 16, 2009","$4.99","34% (71%/76%)","183,926 ±11,095","04:58"
"14","Quake 4","Aug 4, 2011","$14.99","72% (88%/81%)","174,282 ±10,800","06:20"
"20","Hunted: The Demon's Forge","May 30, 2011","$4.99","34% (71%/61%)","110,110 ±8,585","06:25"
"21","Rogue Warrior","Dec 1, 2009","$4.99","16% (57%/29%)","80,478 ±7,340","03:38"
