"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"24","Mirror's Edge","Jan 14, 2009","$19.99","75% (89%/81%)","2,679,459 ±42,189","04:38"
"12","Dead Space","Jan 9, 2009","$19.99","75% (89%/86%)","2,127,506 ±37,625","06:26"
"39","Crysis 2 Maximum Edition","Mar 22, 2011","$29.99","54% (81%)","2,076,309 ±37,172","07:10"
"7","Burnout Paradise: The Ultimate Box","Mar 12, 2009","$19.99","66% (86%/87%)","1,953,224 ±36,060","06:41"
"8","Battlefield: Bad Company 2","Mar 2, 2010","$19.99","72% (88%/87%)","1,723,185 ±33,882","55:55"
"1","Mass Effect 2","Jan 26, 2010","$19.99","93% (95%/94%)","1,643,233 ±33,091","39:42"
"32","Medal of Honor(TM) Multiplayer","Oct 12, 2010","$19.99","28% (67%/72%)","1,586,951 ±32,522","06:48"
"33","Medal of Honor(TM) Single Player","Oct 12, 2010","$19.99","28% (67%/72%)","1,586,951 ±32,522","04:04"
"6","Mass Effect","Dec 19, 2008","$19.99","90% (94%/89%)","1,476,139 ±31,371","23:08"
"17","Spore","Dec 19, 2008","$19.99","69% (87%/84%)","1,384,966 ±30,391","18:17"
"9","Dead Space 2","Jan 25, 2011","$19.99","90% (94%/87%)","1,207,177 ±28,381","09:53"
"3","Dragon Age: Origins - Ultimate Edition","Oct 26, 2010","$29.99","88% (93%/91%)","1,088,300 ±26,952","37:34"
"37","SimCity 4 Deluxe","Jul 20, 2010","$19.99","43% (76%)","1,085,845 ±26,922","16:31"
"42","Command and Conquer: Red Alert 3 - Uprising","Oct 6, 2009","$19.99","38% (73%)","1,076,027 ±26,800","09:04"
"10","The Sims(TM) 3","Jan 27, 2011","$19.99","64% (85%/86%)","950,663 ±25,196","65:54"
"5","Crysis","Sep 17, 2008","$19.99","59% (83%/91%)","942,772 ±25,091","08:32"
"4","Dragon Age: Origins","Nov 5, 2009","$19.99","88% (93%/91%)","795,492 ±23,053","54:13"
"14","Crysis Wars","Sep 17, 2008","$19.99","64% (85%/84%)","792,511 ±23,010","01:32"
"15","Crysis Warhead","Sep 17, 2008","$19.99","64% (85%/84%)","792,511 ±23,010","04:49"
"11","Need for Speed: Hot Pursuit","Dec 14, 2010","$19.99","54% (81%/86%)","791,810 ±23,000","10:53"
"22","Kingdoms of Amalur: Reckoning","Feb 7, 2012","$19.99","72% (88%/81%)","773,750 ±22,737","25:47"
"34","Spore: Galactic Adventures","Jun 23, 2009","$19.99","48% (78%/70%)","682,576 ±21,358","17:10"
"21","Command and Conquer: Red Alert 3","Jan 8, 2009","$19.99","59% (83%/82%)","648,036 ±20,812","17:03"
"31","Alice: Madness Returns","","Free","69% (87%/75%)","641,022 ±20,699","08:32"
"40","Spore: Creepy & Cute Parts Pack","Dec 19, 2008","$19.99","56% (82%)","609,462 ±20,184","06:17"
"13","Command and Conquer 3: Tiberium Wars","Nov 13, 2009","$14.99","78% (90%/85%)","387,839 ±16,107","18:45"
"20","Bulletstorm","Feb 21, 2011","$19.99","48% (78%/82%)","368,202 ±15,694","06:27"
"2","Battlefield 2","Oct 6, 2009","Free","75% (89%/91%)","351,195 ±15,328","19:00"
"35","Need for Speed: Undercover","Dec 19, 2008","$9.99","31% (69%/65%)","277,905 ±13,636","10:58"
"36","Command and Conquer 4: Tiberian Twilight","Mar 16, 2010","$19.99","1% (20%/64%)","252,832 ±13,007","06:48"
"29","Command and Conquer 3: Kane's Wrath","Nov 13, 2009","$19.99","93% (95%/77%)","192,517 ±11,351","24:05"
"23","Jade Empire: Special Edition","Feb 27, 2007","$14.99","41% (75%/81%)","191,816 ±11,330","07:32"
"16","Shift 2 Unleashed","Mar 29, 2011","$19.99","19% (60%/84%)","182,874 ±11,063","12:30"
"18","Need for Speed: SHIFT","Oct 6, 2009","$19.99","39% (74%/83%)","174,984 ±10,822","09:52"
"25","Medal of Honor: Airborne","Oct 6, 2009","$9.99","49% (79%/78%)","169,022 ±10,636","08:59"
"19","Dragon Age: Origins - Awakening","Mar 16, 2010","$9.99","88% (93%/82%)","150,261 ±10,029","00:21"
"27","DeathSpank","Oct 25, 2010","$14.99","90% (94%/77%)","126,416 ±9,199","06:54"
"38","Crysis 2","Mar 22, 2011","$29.99","54% (81%)","99,941 ±8,179","28:08"
"26","DeathSpank: Thongs Of Virtue","Nov 30, 2010","$14.99","66% (86%/78%)","95,557 ±7,998","09:56"
"30","The Sims(TM) Medieval","May 19, 2011","Free","3% (33%/77%)","67,153 ±6,705","14:44"
"28","RISK Factions","Mar 8, 2011","$9.99","31% (69%/77%)","56,633 ±6,158","13:49"
"41","WARP","Mar 21, 2012","$9.99","41% (75%)","43,308 ±5,385","03:14"
