"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"17","Magicka","Jan 25, 2011","$9.99","88% (93%/74%)","3,538,071 ±48,416","10:16"
"28","Magicka: Wizard Wars","Apr 28, 2015","Free","64% (85%/69%)","3,379,568 ±47,330","03:35"
"3","Cities: Skylines","Mar 10, 2015","$29.99","88% (93%/85%)","2,531,652 ±41,018","36:27"
"7","Crusader Kings II","Feb 14, 2012","$39.99","84% (92%/82%)","1,304,838 ±29,502","109:54"
"19","War of the Roses","Feb 6, 2013","Free","16% (57%/73%)","1,219,625 ±28,527","10:40"
"2","Europa Universalis IV","Aug 13, 2013","$39.99","81% (91%/87%)","992,567 ±25,743","185:00"
"31","Dungeonland","Nov 12, 2013","Free","36% (72%/67%)","926,992 ±24,881","02:40"
"1","Pillars of Eternity","Mar 26, 2015","$44.99","72% (88%/89%)","787,251 ±22,934","37:35"
"25","Warlock - Master of the Arcane","May 8, 2012","$24.99","64% (85%/71%)","783,744 ±22,883","18:41"
"11","Teleglitch: Die More Edition","Jul 24, 2013","$12.99","64% (85%/78%)","754,989 ±22,460","02:15"
"21","Cities in Motion 2","Apr 2, 2013","$19.99","17% (58%/72%)","675,037 ±21,240","16:41"
"10","Stellaris","May 9, 2016","$39.99","64% (85%/78%)","571,064 ±19,539","53:38"
"12","Hearts of Iron III","Aug 7, 2009","$9.99","54% (81%/77%)","510,047 ±18,467","50:56"
"30","The Showdown Effect","Mar 5, 2013","$9.99","24% (64%/67%)","488,832 ±18,080","03:09"
"6","Europa Universalis III","Feb 4, 2009","$14.99","69% (87%/83%)","445,875 ±17,268","51:43"
"29","Magicka 2","May 26, 2015","$14.99","34% (71%/69%)","415,367 ±16,668","05:21"
"14","Victoria II","Aug 30, 2010","$19.99","75% (89%/75%)","408,529 ±16,530","62:46"
"44","Knights of Pen and Paper +1","Jun 18, 2013","$9.99","64% (85%)","407,652 ±16,512","06:53"
"4","Hearts of Iron IV","Jun 6, 2016","$39.99","54% (81%/83%)","315,602 ±14,531","66:24"
"42","Leviathan: Warships","Apr 30, 2013","$9.99","13% (52%)","271,067 ±13,468","02:59"
"43","King Arthur - The Role-playing Warigra","Nov 24, 2009","$9.99","46% (77%)","258,969 ±13,164","15:17"
"26","Cities in Motion","Feb 22, 2011","$19.99","43% (76%/70%)","253,007 ±13,012","29:00"
"39","Ship Simulator Extremes","Aug 27, 2010","$19.99","9% (47%/49%)","191,290 ±11,315","14:18"
"33","Sword of the Stars II: Enhanced Edition","Nov 30, 2012","$19.99","7% (43%/65%)","166,042 ±10,542","28:28"
"51","Victoria: Revolutions","Aug 20, 2010","$9.99","30% (68%)","156,398 ±10,231","07:30"
"32","King Arthur II - The Role-playing Warigra","Jan 27, 2012","$9.99","11% (50%/66%)","147,456 ±9,935","07:56"
"8","Darkest Hour: A Hearts of Iron igra","Apr 8, 2011","$9.99","84% (92%/81%)","134,657 ±9,494","73:06"
"40","Impire","Feb 14, 2013","$19.99","9% (46%/45%)","126,942 ±9,218","08:42"
"16","Sword of the Stars Complete Collection","Jun 4, 2010","$9.99","81% (91%/75%)","121,331 ±9,012","33:12"
"54","Majesty 2 Collection","Apr 19, 2011","$19.99","46% (77%)","120,279 ±8,973","21:57"
"27","Sengoku","Sep 15, 2011","$9.99","28% (67%/70%)","116,597 ±8,835","05:59"
"47","King Arthur: Collection","May 24, 2011","Free","23% (63%)","112,214 ±8,667","11:26"
"49","Majesty: Gold Edition","Sep 4, 2009","$9.99","90% (94%)","104,499 ±8,364","06:50"
"36","A igra of Dwarves","Oct 23, 2012","$9.99","23% (63%/60%)","104,149 ±8,350","13:10"
"22","Majesty 2","Sep 17, 2009","$9.99","39% (74%/72%)","101,343 ±8,237","19:30"
"13","Knights of Honor","Feb 4, 2009","$9.99","84% (92%/77%)","92,226 ±7,858","20:58"
"18","Crusader Kings Complete","Feb 14, 2012","$9.99","24% (64%/73%)","90,998 ±7,805","03:56"
"38","King Arthur - Fallen Champions","Sep 16, 2011","$4.99","N/A (N/A/54%)","85,914 ±7,584","00:54"
"35","War of the Vikings","Apr 15, 2014","$6.24","17% (58%/62%)","80,654 ±7,348","13:49"
"20","Warlock 2: the Exiled","Apr 10, 2014","$19.99","25% (65%/73%)","78,374 ±7,244","22:58"
"23","March of the Eagles","Feb 18, 2013","$19.99","28% (67%/71%)","78,024 ±7,227","11:27"
"5","Hearts of Iron II: Complete","Jan 23, 2009","$14.99","69% (87%/83%)","76,095 ±7,137","35:51"
"24","The Kings' Crusade","Oct 8, 2010","$9.99","6% (40%/71%)","74,166 ±7,046","07:44"
"9","Europa Universalis: Rome - Gold Edition","Dec 18, 2008","$9.99","31% (69%/79%)","72,764 ±6,980","21:34"
"34","Naval War: Arctic Circle","Apr 10, 2012","$19.99","5% (39%/64%)","70,484 ±6,869","07:53"
"53","Arsenal of Democracy","Feb 23, 2010","$9.99","66% (86%)","55,406 ±6,090","37:42"
"48","Knights of Pen and Paper 2","Oct 20, 2015","$7.99","61% (84%)","55,230 ±6,081","08:11"
"37","Defenders of Ardania","Mar 14, 2012","$9.99","3% (31%/58%)","45,587 ±5,525","02:19"
"52","Ancient Space","Sep 23, 2014","$19.99","9% (47%)","45,412 ±5,514","03:33"
"45","Magicka: Wizards of the Square Tablet","Oct 31, 2013","$4.99","61% (84%)","38,048 ±5,047","01:25"
"41","Gettysburg: Armored Warfare","Mar 27, 2012","$9.99","3% (30%/22%)","32,963 ±4,698","01:06"
"46","For The Glory","Nov 11, 2009","$9.99","N/A (N/A)","28,404 ±4,361","08:05"
"50","Crusaders: Thy Kingdom Come","Oct 8, 2009","$9.99","N/A (N/A)","21,917 ±3,831","04:11"
"15","Sword of the Stars","Jun 4, 2010","$9.99","81% (91%/75%)","18,936 ±3,561","115:12"
