"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)"
"3","Empire: Total War","Mar 3, 2009","$19.99","81% (91%/90%)","3,399,907 ±47,471","100:21"
"44","Total War: SHOGUN 2","Mar 15, 2011","$24.99","81% (91%)","2,806,050 ±43,165","75:19"
"1","Company of Heroes","Jul 17, 2007","$19.99","93% (95%/93%)","2,790,796 ±43,049","14:39"
"10","Warhammer 40,000: Dawn of War II","Feb 18, 2009","$19.99","72% (88%/85%)","2,564,965 ±41,285","29:20"
"22","Total War: ROME II - Emperor Edition","Sep 2, 2013","$44.99","46% (77%/76%)","2,319,147 ±39,271","129:12"
"5","Company of Heroes: Opposing Fronts","Sep 24, 2007","$19.99","88% (93%/87%)","2,227,797 ±38,495","14:09"
"13","Napoleon: Total War","Feb 23, 2010","$19.99","88% (93%/81%)","2,149,423 ±37,817","62:57"
"25","Company of Heroes: Tales of Valor","Apr 8, 2009","$19.99","90% (94%/70%)","2,016,695 ±36,638","27:50"
"14","Company of Heroes 2","Jun 25, 2013","$29.99","43% (76%/80%)","1,833,471 ±34,944","70:57"
"9","Warhammer 40,000: Dawn of War II - Chaos Rising","Mar 10, 2010","$19.99","81% (91%/85%)","1,770,701 ±34,344","22:15"
"59","Warhammer 40,000: Dawn of War II Retribution","Feb 28, 2011","$29.99","81% (91%)","1,761,408 ±34,254","38:57"
"4","Medieval II: Total War","Nov 27, 2007","$19.99","93% (95%/88%)","1,697,937 ±33,634","58:00"
"32","Hell Yeah!","Oct 3, 2012","$14.99","69% (87%/64%)","1,564,508 ±32,292","01:54"
"63","Jet Set Radio","Sep 19, 2012","$7.99","59% (83%)","1,561,878 ±32,265","01:45"
"2","Rome: Total War","Aug 28, 2007","$9.99","90% (94%/92%)","1,552,585 ±32,170","36:35"
"8","Warhammer 40,000: Dawn of War - Game of the Year Edition","Aug 7, 2007","$12.99","88% (93%/86%)","1,529,441 ±31,930","05:10"
"16","Football Manager 2015","Nov 2014","$49.99","48% (78%/80%)","1,090,229 ±26,976","392:17"
"23","Warhammer 40,000 Space Marine","Sep 5, 2011","$29.99","84% (92%/74%)","1,069,714 ±26,722","17:12"
"28","Aliens vs. Predator","Feb 16, 2010","$14.99","75% (89%/68%)","1,060,246 ±26,604","14:11"
"11","Football Manager 2016","Nov 12, 2015","$49.99","36% (72%/81%)","1,046,921 ±26,437","278:23"
"73","Warhammer 40,000: Dawn of War - Soulstorm","Mar 5, 2008","$12.99","90% (94%)","988,359 ±25,689","31:22"
"53","Viking: Battle for Asgard","Oct 17, 2012","$14.99","8% (45%)","972,229 ±25,479","02:46"
