"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"65","Tom Clancy's Ghost Recon Phantoms - NA","Apr 10, 2014","Free","34% (71%/70%)","4,101,595 ±52,084","29:29"
"111","Tom Clancy's Ghost Recon Phantoms - EU","10 Apr, 2014","Free","N/A (N/A)","3,807,735 ±50,206","25:14"
"8","Far Cry 3","Dec 4, 2012","$19.99","75% (89%/88%)","2,912,127 ±43,967","27:57"
"77","The Mighty Quest For Epic Loot","Feb 25, 2014","Free","28% (67%/64%)","2,065,613 ±37,077","14:54"
"101","South Park: The Stick of Truth","Mar 3, 2014","$29.99","98% (97%)","1,834,873 ±34,957","15:54"
"91","TrackMania Nations Forever","Apr 16, 2008","Free","81% (91%)","1,815,411 ±34,772","07:50"
"12","Far Cry 2","Oct 22, 2008","$9.99","43% (76%/85%)","1,212,437 ±28,443","10:10"
"97","Assassin's Creed IV Black Flag","Nov 19, 2013","$29.99","72% (88%)","1,182,279 ±28,088","41:23"
"26","Far Cry 3 Blood Dragon","May 1, 2013","$14.99","72% (88%/81%)","1,171,408 ±27,959","06:11"
"11","Assassin's Creed II","Mar 9, 2010","$19.99","56% (82%/86%)","1,122,665 ±27,373","23:58"
"27","Assassin's Creed III","Nov 20, 2012","$19.99","43% (76%/80%)","960,306 ±25,323","34:17"
"61","Dark Messiah of Might & Magic Multi-Player","Oct 25, 2006","$9.99","90% (94%/72%)","945,052 ±25,121","04:02"
"57","Dark Messiah of Might & Magic Single Player","Oct 25, 2006","$9.99","90% (94%/72%)","944,350 ±25,112","07:36"
"37","Call of Juarez Gunslinger","May 22, 2013","$14.99","93% (95%/79%)","934,181 ±24,977","07:32"
"95","Tom Clancy's Rainbow Six Siege","Dec 1, 2015","$49.99","43% (76%)","837,572 ±23,654","70:10"
"19","Anno 2070","Nov 17, 2011","$19.99","22% (62%/83%)","823,545 ±23,455","35:26"
"6","Far Cry","Apr 1, 2008","$9.99","59% (83%/89%)","821,792 ±23,430","07:54"
"7","Assassin's Creed Brotherhood","Mar 22, 2011","$19.99","66% (86%/88%)","799,875 ±23,117","24:32"
"103","Tom Clancy's The Division","Mar 7, 2016","$59.99","13% (52%)","770,594 ±22,690","91:52"
"35","Assassin's Creed","Apr 9, 2008","$19.99","59% (83%/79%)","769,016 ±22,667","10:40"
"31","Far Cry 4","Nov 2014","$39.99","43% (76%/80%)","765,860 ±22,621","36:59"
"107","Tom Clancy's Splinter Cell Blacklist","Aug 20, 2013","$29.99","59% (83%)","728,339 ±22,061","19:52"
"28","Assassin's Creed Revelations","Nov 29, 2011","$19.99","66% (86%/80%)","723,429 ±21,987","21:00"
"43","Watch_Dogs","May 26, 2014","$29.99","23% (63%/77%)","695,726 ±21,562","26:58"
"45","Might & Magic: Heroes VI","Oct 13, 2011","$19.99","10% (49%/77%)","620,508 ±20,366","49:07"
"44","Child of Light","Apr 29, 2014","$14.99","84% (92%/77%)","610,865 ±20,207","08:13"
"17","Might & Magic: Duel of Champions","Nov 7, 2013","Free","54% (81%/84%)","597,189 ±19,980","30:16"
"48","R.U.S.E","Sep 7, 2010","$9.99","88% (93%/76%)","593,507 ±19,919","41:57"
"105","Rocksmith 2014","Oct 22, 2013","$39.99","84% (92%)","510,223 ±18,471","46:47"
"41","Tom Clancy's Rainbow Six: Vegas 2","Apr 16, 2008","$9.99","69% (87%/78%)","478,838 ±17,894","11:51"
"87","Valiant Hearts: The Great War / Soldats Inconnus : Mmoires de la Grande Guerre","Jun 25, 2014","$14.99","93% (95%)","415,718 ±16,675","06:34"
"49","From Dust","Aug 17, 2011","$14.99","23% (63%/76%)","414,666 ±16,654","05:50"
"75","Heroes of Might & Magic III - HD Edition","Jan 28, 2015","$14.99","20% (61%/65%)","407,652 ±16,512","26:47"
"51","Grow Home","Feb 4, 2015","$7.99","81% (91%/75%)","396,606 ±16,287","03:37"
