"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"6","Dota 2","Jul 9, 2013","Free","78% (90%/90%)","80,413,038 ±201,825","198:53"
"4","Team Fortress 2","Oct 10, 2007","Free","90% (94%/92%)","35,072,643 ±144,889","74:57"
"13","Counter-Strike: Global Offensive","Aug 21, 2012","$14.99","84% (92%/83%)","23,360,138 ±120,571","269:05"
"10","Counter-Strike: Source","Nov 1, 2004","$19.99","93% (95%/88%)","14,736,496 ±97,101","136:12"
"9","Left 4 Dead 2","Nov 16, 2009","$19.99","96% (96%/89%)","14,472,092 ±96,266","38:47"
"24","Half-Life 2: Lost Coast","Oct 27, 2005","Free","56% (82%)","14,288,692 ±95,682","01:05"
"28","Half-Life 2: Deathmatch","Nov 1, 2004","$4.99","75% (89%)","13,500,915 ±93,123","10:43"
"11","Counter-Strike","Nov 1, 2000","$9.99","98% (97%/88%)","12,522,725 ±89,825","186:28"
"31","Garry's Mod","Nov 29, 2006","$9.99","93% (95%)","11,944,824 ±87,807","93:18"
"18","Counter-Strike: Condition Zero","Mar 1, 2004","$9.99","75% (89%/65%)","10,012,114 ±80,634","35:09"
"19","Counter-Strike: Condition Zero Deleted Scenes","Mar 1, 2004","$9.99","75% (89%/65%)","10,012,114 ±80,634","03:13"
"2","Half-Life 2","Nov 16, 2004","$9.99","96% (96%/96%)","9,460,687 ±78,450","12:24"
"7","Portal","Oct 10, 2007","$9.99","99% (98%/90%)","9,272,554 ±77,688","05:13"
"3","Portal 2","Apr 18, 2011","$19.99","99% (98%/95%)","8,129,024 ±72,870","16:44"
"15","Day of Defeat","May 1, 2003","$4.99","78% (90%/79%)","7,387,710 ±69,548","17:19"
"33","Deathmatch Classic","Jun 1, 2001","$4.99","61% (84%)","7,276,724 ±69,035","01:57"
"27","Ricochet","Nov 1, 2000","$4.99","49% (79%)","7,264,626 ±68,979","01:22"
"22","Half-Life Deathmatch: Source","May 1, 2006","$9.99","41% (75%)","6,470,011 ±65,177","01:36"
"14","Day of Defeat: Source","Jul 12, 2010","$9.99","78% (90%/80%)","6,147,045 ±63,562","33:23"
"12","Half-Life 2: Episode One","Jun 1, 2006","$7.99","90% (94%/87%)","6,015,895 ±62,893","05:08"
"1","Half-Life","Nov 8, 1998","$9.99","96% (96%/96%)","5,732,204 ±61,419","08:17"
"5","Half-Life 2: Episode Two","Oct 10, 2007","$7.99","93% (95%/90%)","5,461,137 ±59,974","07:55"
"25","Team Fortress Classic","Apr 1, 1999","$4.99","59% (83%)","5,238,462 ±58,759","14:49"
"30","Half-Life: Opposing Force","Nov 1, 1999","$4.99","93% (95%)","5,228,644 ±58,704","07:41"
"17","Half-Life: Blue Shift","Jun 1, 2001","$4.99","78% (90%/71%)","5,203,922 ±58,568","04:11"
"16","Alien Swarm","Jul 19, 2010","Free","93% (95%/77%)","4,552,555 ±54,835","05:24"
"8","Left 4 Dead","Nov 17, 2008","$19.99","90% (94%/89%)","4,191,717 ±52,646","39:09"
"20","Half-Life: Source","Jun 1, 2004","$9.99","54% (81%)","2,828,317 ±43,335","05:07"
"26","Source Filmmaker","Jul 10, 2012","Free","88% (93%)","1,058,318 ±26,580","18:52"
"23","The Lab","Apr 5, 2016","Free","100% (99%)","280,535 ±13,701","03:37"
"32","Destinations","Jun 9, 2016","Free","93% (95%)","61,367 ±6,410","00:37"
"21","Paper Dungeons","Apr 20, 2015","$9.99","11% (50%)","20,339 ±3,690","05:06"
"29","Miaou Moon","Aug 18, 2016","$9.99","N/A (N/A)","1,929 ±1,136","03:03"
