"#","igra","Release date","Price","Score rank(Userscore / Metascore)","Owners","igralni_cas"
"3","Batman: Arkham City GOTY","Sep 7, 2012","$19.99","96% (96%/91%)","3,088,864 ±45,269","16:30"
"1","Batman: Arkham Asylum GOTY Edition","Mar 26, 2010","$19.99","96% (96%/91%)","2,637,028 ±41,856","10:58"
"26","Gotham City Impostors: Free To Play","Aug 30, 2012","Free","64% (85%)","2,414,528 ±40,065","04:56"
"8","Bastion","Aug 16, 2011","$14.99","98% (97%/86%)","2,210,790 ±38,349","06:03"
"7","The Lord of the Rings Online","Jun 6, 2012","Free","54% (81%/86%)","1,975,491 ±36,264","29:45"
"18","Batman: Arkham Origins","Oct 24, 2013","$19.99","64% (85%/74%)","1,952,698 ±36,055","19:00"
"12","F.E.A.R. 2: Project Origin","Feb 12, 2009","$14.99","69% (87%/79%)","1,807,170 ±34,694","13:04"
"17","F.E.A.R. 3","Jun 21, 2011","$19.99","36% (72%/74%)","1,721,081 ±33,862","08:06"
"22","The Lord of the Rings: War in the North","Nov 1, 2011","$19.99","48% (78%/66%)","1,471,230 ±31,319","10:20"
"16","Scribblenauts Unlimited","Nov 19, 2012","$19.99","84% (92%/75%)","1,441,949 ±31,007","08:14"
"4","F.E.A.R.: Extraction Point","May 21, 2010","$9.99","N/A (N/A/88%)","1,127,925 ±27,437","04:38"
"5","F.E.A.R.","May 21, 2010","$9.99","90% (94%/88%)","1,127,925 ±27,437","06:14"
"6","F.E.A.R.: Perseus Mandate","May 21, 2010","$9.99","N/A (N/A/88%)","1,127,925 ±27,437","05:03"
"31","Mortal Kombat Komplete Edition","Jul 3, 2013","$19.99","78% (90%)","985,203 ±25,648","11:48"
"19","Mad Max","Sep 1, 2015","$39.99","78% (90%/73%)","871,411 ±24,125","26:59"
"27","Injustice: Gods Among Us Ultimate Edition","Nov 12, 2013","$19.99","64% (85%)","813,902 ±23,318","08:23"
"14","LEGO MARVEL Super Heroes","Oct 22, 2013","$19.99","88% (93%/78%)","803,382 ±23,167","32:35"
"37","Batman: Arkham Knight","Jun 23, 2015","$29.99","16% (57%)","679,245 ±21,306","26:09"
"42","Dungeons & Dragons Online","Jun 25, 2012","Free","43% (76%)","651,016 ±20,860","19:12"
"24","Guardians of Middle-earth","Aug 29, 2013","$19.99","1% (21%/56%)","594,734 ±19,939","02:35"
"15","Mortal Kombat X","Apr 13, 2015","$29.99","14% (54%/76%)","571,765 ±19,551","21:17"
"11","LEGO Lord of the Rings","Nov 27, 2012","$19.99","81% (91%/80%)","504,612 ±18,369","11:05"
"33","LEGO Worlds","Jun 1, 2015","$14.99","54% (81%)","435,706 ±17,070","09:16"
"29","LEGO - The Hobbit","Apr 8, 2014","$19.99","52% (80%)","365,397 ±15,634","16:07"
"34","The LEGO Movie - Videoigra","Feb 7, 2014","$19.99","61% (84%)","294,386 ±14,035","20:30"
"13","Lego Harry Potter","Jun 29, 2010","$19.99","48% (78%/79%)","255,988 ±13,088","13:22"
"9","LEGO Harry Potter: Years 5-7","Jan 5, 2012","$19.99","66% (86%/80%)","222,675 ±12,207","20:50"
"44","LEGO Batman 2","Jun 22, 2012","$19.99","72% (88%)","221,097 ±12,164","19:23"
"10","LEGO Batman: The Videoigra","Sep 29, 2008","$19.99","52% (80%/80%)","198,829 ±11,536","12:29"
"21","Scribblenauts Unmasked","Sep 24, 2013","$19.99","61% (84%/68%)","192,517 ±11,351","08:53"
"20","LEGO Jurassic World","Jun 11, 2015","$29.99","59% (83%/72%)","184,627 ±11,116","20:17"
"43","Mortal Kombat: Legacy - Ep. 9: Cyrax & Sektor","Jun 24, 2016","Free","N/A (N/A)","184,276 ±11,106","00:06"
"32","Mortal Kombat: Legacy - Ep. 3: Johnny Cage","Jun 24, 2016","Free","N/A (N/A)","178,490 ±10,930","00:09"
"28","Mortal Kombat: Legacy - Ep. 4: Kitana & Mileena (Part 1)","Jun 24, 2016","Free","N/A (N/A)","177,964 ±10,914","00:16"
"2","Batman: Arkham Asylum","Mar 26, 2010","$19.99","96% (96%/91%)","99,239 ±8,151","16:50"
"38","Mortal Kombat: Legacy II - Ep. 1: Reunited in Macau","Jun 24, 2016","Free","N/A (N/A)","97,311 ±8,071","00:07"
"30","Mortal Kombat: Legacy II - Ep. 5: Kitana and Mileena","Jun 24, 2016","Free","N/A (N/A)","91,174 ±7,813","00:06"
"41","Mortal Kombat: Legacy II - Ep. 8: Scorpion and Sub-Zero (Part 2)","Jun 24, 2016","Free","N/A (N/A)","90,998 ±7,805","00:08"
"35","Mortal Kombat: Legacy II - Ep. 4: Kenshi Encounters Ermac","Jun 24, 2016","Free","N/A (N/A)","90,648 ±7,790","00:05"
"46","Mortal Kombat: Legacy II - Ep. 6: Johnny Cage","Jun 24, 2016","Free","N/A (N/A)","89,946 ±7,760","00:08"
"39","LEGOÂ® MARVEL's Avengers","Jan 26, 2016","$39.99","66% (86%)","70,484 ±6,869","26:01"
"36","LEGO® STAR WARS™: The Force Awakens","Jun 27, 2016","$39.99","61% (84%)","66,802 ±6,688","14:26"
"23","Watchmen: The End Is Nigh","Mar 4, 2009","$4.99","28% (67%/61%)","36,470 ±4,941","02:09"
"25","Watchmen: The End Is Nigh Part 2","Jul 29, 2009","$4.99","23% (63%/44%)","30,859 ±4,545","01:08"
"45","Scooby-Doo! & Looney Tunes Cartoon Universe: Adventure","Jul 16, 2014","$19.99","N/A (N/A)","4,559 ±1,747","01:38"
"40","Hot Wheels World's Best Driver","Sep 17, 2013","$19.99","N/A (N/A)","2,981 ±1,412","00:34"
