ime,podjetje,igralni_cas
Sid Meier's Civilization V,2K_Games,165:57
Borderlands 2,2K_Games,58:56
BioShock Infinite,2K_Games,14:52
BioShock,2K_Games,07:07
XCOM: Enemy Unknown,2K_Games,49:15
BioShock 2,2K_Games,07:42
Borderlands,2K_Games,29:35
Mafia II,2K_Games,28:50
Spec Ops: The Line,2K_Games,06:40
Sid Meier's Civilization IV,2K_Games,24:43
Sid Meier's Civilization IV: Beyond the Sword,2K_Games,89:23
Sid Meier's Civilization IV: Colonization,2K_Games,12:15
Sid Meier's Civilization IV: Warlords,2K_Games,12:57
The Darkness II,2K_Games,06:19
Sid Meier's Civilization III: Complete,2K_Games,57:23
The Bureau: XCOM Declassified,2K_Games,06:47
Duke Nukem Forever,2K_Games,10:42
Sid Meier's Pirates!,2K_Games,11:55
X-COM: UFO Defense,2K_Games,15:25
X-COM: Terror from the Deep,2K_Games,15:31
X-COM: Apocalypse,2K_Games,10:34
X-COM: Interceptor,2K_Games,01:23
X-COM: Enforcer,2K_Games,00:47
Sid Meier's Ace Patrol,2K_Games,03:44
Sid Meier's Ace Patrol: Pacific Skies,2K_Games,03:26
Sid Meier's Railroads!,2K_Games,17:38
Freedom Force,2K_Games,03:15
Freedom Force vs. the 3rd Reich,2K_Games,06:42
Railroad Tycoon 3,2K_Games,20:45
Railroad Tycoon 2: Platinum,2K_Games,23:30
NBA 2K14,2K_Games,89:27
NBA 2K13,2K_Games,84:28
CivCity: Rome,2K_Games,15:41
Shattered Union,2K_Games,04:00
Call of Duty: Modern Warfare 2,Activision,23:21
Call of Duty: Modern Warfare 2 - Multiplayer,Activision,147:51
Call of Duty: Black Ops - Multiplayer,Activision,77:41
Call of Duty: Black Ops,Activision,24:04
Call of Duty: Modern Warfare 3,Activision,23:21
Call of Duty: Modern Warfare 3 - Multiplayer,Activision,112:28
Call of Duty: Black Ops II,Activision,08:50
Call of Duty: Black Ops II - Multiplayer,Activision,88:10
Call of Duty: Ghosts - Multiplayer,Activision,37:23
Call of Duty: Ghosts,Activision,08:26
Call of Duty: World at War,Activision,35:42
Call of Duty: Black Ops III,Activision,68:32
Call of Duty: Advanced Warfare - Multiplayer,Activision,36:19
Call of Duty: Advanced Warfare,Activision,08:27
Call of Duty 4: Modern Warfare,Activision,25:33
Vampire: The Masquerade - Bloodlines,Activision,14:54
PROTOTYPE 2,Activision,15:30
Prototype,Activision,12:13
Deadpool,Activision,08:03
Call of Duty 2,Activision,14:37
Transformers: War for Cybertron,Activision,10:21
The Legend of Korra,Activision,06:02
Call of Duty,Activision,08:05
Transformers: Fall of Cybertron,Activision,20:49
Call of Duty: United Offensive,Activision,09:24
Geometry Wars: Retro Evolved,Activision,01:46
Singularity,Activision,06:42
The Amazing Spider-Man,Activision,12:28
Tony Hawk's Pro Skater HD,Activision,06:00
TimeShift,Activision,03:42
The Amazing Spider-Man 2,Activision,12:57
Geometry Wars 3: Dimensions,Activision,05:18
Space Quest Collection,Activision,03:43
The Walking Dead: Survival Instinct,Activision,08:57
King's Quest Collection,Activision,03:52
GUN,Activision,04:38
