ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Dota 2,2013-07-09,Free,78,80413038,20:57
Counter-Strike: Global Offensive,2012-08-21,14.99,84,23360138,14:25
Team Fortress 2,2007-10-10,Free,90,35072643,09:55
Unturned,2014-07-07,Free,84,24423365,06:48
Grand Theft Auto V,2015-04-13,59.99,56,4990364,09:21
Garry's Mod,2006-11-29,9.99,93,11944824,07:47
Sid Meier's Civilization V,2010-09-21,29.99,96,9165425,13:54
Rocket League,2015-07-07,14.99,88,3929943,07:27
ARK: Survival Evolved,2015-06-02,29.99,31,3628894,17:57
The Elder Scrolls V: Skyrim,2011-11-10,19.99,88,10743433,08:44
Warframe,2013-03-25,Free,81,12915825,14:03
Fallout 4,2015-11-09,59.99,48,3426383,13:23
Rust,2013-12-11,19.99,54,4357408,15:14
Football Manager 2016,2015-11-12,49.99,36,1046921,28:34
Arma 3,2013-09-12,39.99,75,2568998,15:05
Terraria,2011-05-16,9.99,96,7650186,07:52
Dead by Daylight,2016-06-14,19.99,N/A,943298,11:32
War Thunder,2013-08-15,Free,59,9461213,07:31
PAYDAY 2,2013-08-13,19.99,48,6732311,06:10
Path of Exile,2013-10-23,Free,88,5376451,13:53
Left 4 Dead 2,2009-11-16,19.99,96,14472092,03:47
Counter-Strike,2000-11-01,9.99,98,12522725,10:48
Euro Truck Simulator 2,2013-01-16,22.99,98,2969637,07:13
Clicker Heroes,2015-05-13,Free,78,4117550,17:31
The Witcher 3: Wild Hunt,2015-05-18,39.99,96,2023884,11:00
H1Z1: King of the Kill,2016-02-17,19.99,28,2693836,09:04
Tom Clancy's Rainbow Six Siege,2015-12-01,49.99,43,837572,11:41
SMITE,2015-09-08,Free,61,3723224,11:15
Heroes & Generals,2014-07-11,Free,28,10385050,05:16
Borderlands 2,2012-09-17,19.99,96,6511039,05:59
Deus Ex: Mankind Divided,2016-08-23,59.99,24,315426,15:02
Brawlhalla,2014-04-30,Free,75,3915741,03:32
Cities: Skylines,2015-03-10,29.99,88,2531652,06:39
Call of Duty: Black Ops III,2015-11-05,59.99,15,1231022,07:36
Mount & Blade: Warband,2010-03-31,19.99,96,2302315,09:46
Total War: WARHAMMER,2016-05-24,59.99,31,845813,12:55
Trove,2015-07-09,Free,48,6389707,06:15
Starbound,2016-07-22,12.74,75,2357720,09:06
Counter-Strike: Source,2004-11-01,19.99,93,14736496,05:44
Evolve,2015-02-10,Free,25,4263078,03:14
DARK SOULS III,2016-04-11,59.99,56,1062175,10:09
No Man's Sky,2016-08-12,59.99,4,760074,07:36
The Binding of Isaac: Rebirth,2014-11-04,14.99,98,1529441,06:03
AdVenture Capitalist,2015-03-30,Free,78,3662207,07:50
Total War: ROME II - Emperor Edition,2013-09-02,44.99,46,2319147,10:49
Don't Starve Together Beta,2016-04-21,14.99,96,4651443,05:05
Europa Universalis IV,2013-08-13,39.99,81,992567,15:23
Robocraft,2014-07-08,Free,39,10425201,05:07
Age of Empires II: HD Edition,2013-04-09,19.99,84,3511595,07:24
Crusader Kings II,2012-02-14,39.99,84,1304838,13:02
DayZ,2013-12-16,34.99,32,3432344,06:29
7 Days to Die,2013-12-13,24.99,52,1560124,12:58
Stardew Valley,2016-02-26,14.99,98,1489640,08:57
Hearts of Iron IV,2016-06-06,39.99,54,315602,15:03
RimWorld,2016-07-15,29.99,96,302276,17:04
Titan Quest Anniversary Edition,2016-08-31,19.99,N/A,1670410,05:46
Prison Architect,2015-10-06,29.99,90,1851705,06:45
Warface,2014-07-01,Free,36,5554064,06:39
Company of Heroes 2,2013-06-25,29.99,43,1833471,09:26
Stellaris,2016-05-09,39.99,64,571064,13:39
Killing Floor 2,2015-04-21,29.99,52,904900,06:57
The Forest,2014-05-30,14.99,78,2228849,05:01
