ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
BioShock,2007-08-21,19.99,90,3460573,07:16
Grand Theft Auto V,2015-04-13,59.99,56,4990364,108:59
Half-Life,1998-11-08,9.99,96,5732204,08:17
Half-Life 2,2004-11-16,9.99,96,9460687,12:24
Portal 2,2011-04-18,19.99,99,8129024,16:44
Grand Theft Auto: Vice City,2011-01-10,9.99,84,1705652,07:18
BioShock Infinite,2013-03-25,29.99,93,4370382,14:48
Quake,2007-08-03,4.99,96,320862,02:15
Grand Theft Auto: San Andreas,2011-01-06,14.99,66,2635800,13:39
Unreal Tournament 2004,2004-03-17,14.99,99,356455,08:24
Company of Heroes,2007-07-17,19.99,93,2790796,14:39
Grand Theft Auto III,2011-01-06,9.99,72,1478419,04:08
Team Fortress 2,2007-10-10,Free,90,35072643,74:57
Tom Clancy's Splinter Cell: Chaos Theory,2009-08-27,9.99,88,309816,06:48
System Shock 2,2013-05-10,9.99,90,716416,04:38
Thief Gold,2012-05-22,6.99,81,754463,03:01
Call of Duty 4: Modern Warfare,2007-11-12,19.99,81,984677,25:33
Unreal Tournament: Game of the Year Edition,2008-03-17,9.99,99,325771,04:23
Freespace 2,2014-06-06,9.99,28,28404,02:20
Tumblestone,2016-07-12,9.99,N/A,2630,15:43
Dishonored,2012-10-08,9.99,98,2570751,17:22
Deus Ex: Human Revolution - Director's Cut,2013-10-25,19.99,81,1381634,16:34
Batman: Arkham Asylum GOTY Edition,2010-03-26,19.99,96,2637028,10:58
Battlefield 2,2009-10-06,Free,75,351195,19:00
Crysis,2008-09-17,19.99,59,942772,08:32
Street Fighter IV,2009-07-07,19.99,43,108006,19:50
DARK SOULS II,2014-04-25,39.99,72,1026407,84:44
Batman: Arkham City GOTY,2012-09-07,19.99,96,3088864,16:30
Call of Duty,2006-10-13,19.99,84,201634,08:05
METAL GEAR SOLID V: THE PHANTOM PAIN,2015-09-01,39.99,69,1074975,65:27
Star Wars Jedi Knight: Dark Forces II,2009-09-16,5.99,26,1059896,02:18
Mark of the Ninja,2012-10-16,14.99,98,1505596,06:36
The Longest Journey,2007-05-01,9.99,90,205316,07:56
Tom Clancy's Splinter Cell,2008-04-01,9.99,69,227409,05:16
Batman: Arkham Asylum,2010-03-26,19.99,96,99239,16:50
Portal,2007-10-10,9.99,99,9272554,05:13
Grand Theft Auto IV,2008-12-02,19.99,25,3990082,23:07
Brothers - A Tale of Two Sons,2013-09-03,14.99,93,1175616,02:47
Deus Ex: Game of the Year Edition,2007-03-29,6.99,93,1128627,06:46
Half-Life 2: Episode Two,2007-10-10,7.99,93,5461137,07:55
Dota 2,2013-07-09,Free,78,80413038,198:53
Star Wars - Jedi Knight II: Jedi Outcast,2009-09-16,9.99,81,1163168,05:25
Left 4 Dead 2,2009-11-16,19.99,96,14472092,38:47
Rayman Legends,2013-09-03,29.99,90,201108,15:49
Borderlands 2,2012-09-17,19.99,96,6511039,59:05
Far Cry,2008-04-01,9.99,59,821792,07:54
Left 4 Dead,2008-11-17,19.99,90,4191717,39:09
Duke Nukem 3D: Megaton Edition,2013-03-20,9.99,98,574921,04:43
Duke Nukem 3D,2014-05-05,3.74,N/A,63997,01:54
Descent 3,2014-04-15,9.99,N/A,8416,00:20
Max Payne,2008-01-04,9.99,78,491287,04:54
Mass Effect,2008-12-19,19.99,90,1476139,23:08
DARK SOULS III,2016-04-11,59.99,56,1062175,67:40
Prince of Persia: The Sands of Time,2008-11-21,9.99,69,231266,03:44
Ori and the Blind Forest,2015-03-10,Free,96,680122,09:16
F.E.A.R.: Perseus Mandate,2010-05-21,9.99,N/A,1127925,05:03
Ori and the Blind Forest: Definitive Edition,2016-04-27,19.99,93,109759,07:53
F.E.A.R.: Extraction Point,2010-05-21,9.99,N/A,1127925,04:38
Far Cry 3,2012-12-04,19.99,75,2912127,27:57
Counter-Strike: Source,2004-11-01,19.99,93,14736496,136:12
Assassin's Creed Brotherhood,2011-03-22,19.99,66,799875,24:32
Guacamelee! Gold Edition,2013-08-08,14.99,90,734300,04:43
Nuclear Throne,2015-12-05,11.99,96,346811,26:26
Super Hexagon,2012-11-27,2.99,96,859664,04:31
BioShock 2,2010-02-09,19.99,78,3071331,07:29
F.E.A.R.,2010-05-21,9.99,90,1127925,06:14
Return to Castle Wolfenstein,2007-08-03,4.99,88,335940,04:27
Counter-Strike,2000-11-01,9.99,98,12522725,186:28
INSIDE,2016-07-07,19.99,N/A,160256,05:25
Torchlight II,2012-09-20,19.99,93,3172674,25:05
Max Payne 3,2012-05-31,19.99,59,1664799,12:40
Dying Light,2015-01-26,59.99,84,1460710,35:09
