ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Black Mesa,2015-05-05,19.99,88,282464,10:09
Breakneck,2016-02-01,4.99,N/A,1227,07:15
HAWKEN,2014-02-14,Free,64,3101138,05:42
Parkitect,2016-05-05,17.99,88,41905,07:00
Soviet City,2016-03-31,11.99,72,1227,02:45
Holodrive,2016-03-24,9.99,69,99590,03:18
Spellblast,2016-02-22,0.99,N/A,5786,04:10
The Culling,2016-03-04,14.99,32,488131,15:30
Hooligan Fighters,2016-01-18,Free,34,42080,01:55
Moonshot,2015-12-21,11.99,78,2805,01:22
Demented,2015-11-18,5.99,N/A,11747,00:05
Bitardia,2015-11-20,6.99,69,13150,03:23
Queen Under The Mountain,2015-09-29,29.99,N/A,533,00:02
Magical Brickout,2015-08-28,5.99,N/A,8065,00:17
Zone 22,2015-07-31,14.99,N/A,2630,00:19
Jet Racing Extreme,2015-07-14,3.99,34,123961,02:31
New kind of adventure,2015-06-04,0.99,6,143599,03:16
Space Rogue,2015-05-14,19.99,36,3156,02:42
All Guns On Deck,2015-08-28,12.99,N/A,5611,03:22
Mad Games Tycoon,2015-01-05,14.99,81,58211,16:34
Tiny Trek,2015-01-20,4.99,N/A,7890,00:15
Spectre,2014-11-03,4.99,N/A,6312,00:17
Xsyon - Prelude,2014-12-29,29.99,39,4208,14:57
Dwelvers,2014-09-11,19.99,54,8416,04:21
Dungeon Dashers,2013-10-25,9.99,10,8241,02:23
Smashmuck Champions,2013-09-11,Free,45,223376,02:06
Pixel Cup Soccer 17,2016-08-04,9.99,N/A,701,02:01
House of Alice,2016-07-11,9.99,N/A,533,00:05
Machine Made: Rebirth,2016-07-19,4.99,100,2455,10:09
Eador. Imperium,2016-06-02,19.99,38,2664,13:38
Shaolin vs Wutang,2016-05-09,12.99,69,1052,00:49
No1Left,2016-02-19,8.99,N/A,514,00:00
Rencounter,2016-01-22,5.99,N/A,1227,02:44
Bionite: Origins,2015-12-24,11.99,N/A,799,00:02
Legend of Dungeon: Masters,2015-11-30,Free,22,102395,00:59
Dragon Rider,2015-11-02,Free,N/A,514,00:00
tricone lab,2015-11-12,9.99,N/A,1403,06:05
The Cursed Forest,2015-09-11,10.99,84,2104,01:22
"DvDrum, Ultimate Drum Simulator!",2015-09-01,12.99,N/A,6838,00:38
Dungeon League,2015-07-23,9.99,N/A,1403,00:38
Forest Warrior,2015-06-25,3.99,N/A,22092,00:38
Panda School Browser,2015-05-22,3.99,N/A,2981,00:00
VR Karts,2015-04-17,Free,N/A,1066,02:59
OBEY,2015-05-21,14.99,88,4559,14:09
Noct,2015-10-21,9.99,36,58036,00:38
Zen Fish SIM,2014-09-18,Free,N/A,799,00:07
BLOCKADE 3D,2014-12-19,Free,18,3157595,06:25
Atajrubah,2014-11-27,Free,N/A,1332,00:18
Drifter,2014-03-04,11.99,31,10520,04:00
Universe Sandbox ,2015-08-24,24.99,90,193569,10:12
CyberThreat,2016-08-18,19.99,N/A,799,00:34
Steampuff: Phinnegan's Factory,2016-07-28,9.99,N/A,1599,00:07
BrainBread 2,2016-07-20,Free,N/A,737631,01:25
RoShamBo Arena,2016-07-14,Free,23,140443,01:01
Space Universe,2016-06-15,14.99,N/A,514,00:28
Z. Year One,2016-08-22,19.99,N/A,533,00:00
Chamber 19,2016-05-27,14.99,N/A,799,00:27
3030 Deathwar Redux,2016-04-28,12.99,96,2455,07:57
Orange Moon,2016-07-06,9.99,N/A,2279,06:56
Cube Land Arena,2016-03-29,1.99,N/A,7539,07:06
Operation Caucasus,2016-03-16,Free,N/A,10169,00:38
Megalo Polis,2016-02-26,9.99,N/A,514,24:45
Kopanito All-Stars Soccer,2015-09-17,11.99,56,24196,02:34
CAT Interstellar,2015-08-28,3.99,36,25949,02:03
RPG MO,2015-08-18,Free,45,241611,07:00
Dungeon Souls,2015-07-02,12.99,78,39801,06:57
LEGO Worlds,2015-06-01,14.99,54,435706,09:16
Tree of Life: Beginning of a Journey,2015-05-27,13.99,47,76095,48:04
Project Explore,2015-03-20,1.99,54,9819,02:02
Grimoire: Manastorm,2015-02-04,9.99,32,208648,02:27
Oort Online,2014-11-13,34.99,28,11923,05:17
Black The Fall,2014-07-04,Free,N/A,1541,00:12
Dog Sled Saga,2014-12-08,7.99,88,5260,15:55
Conquest of Champions,2014-04-23,Free,17,124312,04:12
Take On Mars,2013-08-01,21.99,28,63646,12:21
Line of Sight,2016-09-08,9.99,31,2455,03:19
Fruit Ninja VR,2016-07-07,14.99,90,14903,02:39
Aiball,2016-06-22,1.99,43,701,00:15
Snow Fortress,2016-06-09,9.99,N/A,1929,00:40
Dogfight Elite,2016-06-11,19.99,N/A,514,00:03
Boundel,2016-04-30,4.99,38,5786,00:36
Fantasy Tales Online,2016-05-05,Free,47,103623,01:23
Elements II: Hearts of Light,2016-04-01,4.99,N/A,68906,03:57
Beach Ball Valley,2016-04-05,2.99,N/A,1541,02:23
Hull BreacH,2016-03-17,16.49,N/A,514,01:37
Demesne,2016-03-11,19.99,22,514,00:28
The Black Death,2016-04-19,19.99,18,15079,07:20
Super Bomb Rush!,2016-02-02,7.99,N/A,1753,05:50
a Family of Grave Diggers,2016-01-08,9.99,N/A,3156,00:04
Rise of Keepers,2015-12-04,12.99,N/A,877,04:26
Liftoff,2015-11-09,19.99,59,20163,10:29
Zombie Grinder,2015-10-16,8.99,52,12098,04:45
The District,2015-03-31,0.99,1,54178,02:55
Predestination,2015-02-04,29.99,N/A,5085,06:10
CaesarIA,2015-01-20,Free,26,263527,02:14
Ensign-1,2014-11-13,0.99,N/A,10695,00:39
Automation - The Car Company Tycoon Game,2015-03-12,29.99,69,48918,13:21
Claustrophobia: The Downward Struggle,2014-09-09,4.99,19,21741,03:21
Kingdoms Rise,2013-11-18,14.99,15,50496,02:26
Paddle Up,2016-08-24,9.99,93,2104,00:53
VeeR Pong,2016-07-19,9.99,N/A,514,00:36
Video blogger Story,2016-06-13,6.99,59,8942,03:08
Disgraced,2016-06-20,6.99,N/A,1578,02:44
Aerofly FS 2 Flight Simulator,2016-05-19,49.99,47,7539,06:23
Concrete and Steel,2016-05-27,12.99,N/A,1599,02:45
Warbit,2016-04-19,0.99,28,9643,00:40
Bunker Punks,2016-03-30,14.99,90,4734,02:19
Love is Blind: Mutants,2016-03-15,1.99,2,22969,03:36
Overpower,2016-04-20,8.99,N/A,1865,00:15
Star Rogue,2016-02-01,9.99,N/A,1027,00:00
Bunny Bash,2016-04-28,15.99,N/A,514,00:19
Metal War Online: Retribution,2015-12-01,Free,13,351896,01:51
Empires Of Creation,2015-11-20,4.99,N/A,6663,03:46
Descent: Underground,2015-10-22,29.99,43,34892,09:36
Angels Fall First,2015-10-01,17.99,47,28579,03:24
Acaratus,2016-02-25,24.99,N/A,514,00:46
DRIFT 84,2015-07-14,2.99,N/A,877,00:30
OreLight,2015-06-29,14.99,17,3156,04:32
Vox,2013-11-12,9.99,2,22267,02:03
Clockwork Empires,2014-08-15,29.99,36,23495,08:21
Footbrawl Playground,2016-09-01,5.99,N/A,514,00:16
Spellgear,2016-08-19,19.99,N/A,514,00:18
Tails,2016-08-08,7.99,N/A,514,03:42
Trials of Azra,2016-08-01,9.99,N/A,514,00:17
SoundStage,2016-07-07,9.99,98,7715,01:03
Pong Waves VR,2016-06-20,4.99,81,8416,02:05
Deathwave,2016-06-09,4.99,N/A,1027,00:00
Shadow Heroes: Vengeance In Flames,2016-05-20,9.99,N/A,514,00:00
Snooker Nation Championship,2016-04-27,4.99,45,4734,11:58
StarsOne,2016-04-08,9.99,56,6312,08:11
Judgment: Apocalypse Survival Simulaiton,2016-04-11,14.99,56,5260,05:01
Origin Of Destiny,2016-04-01,Free,38,36119,01:38
Jump Tanks,2016-03-08,Free,N/A,877,01:54
Vernon's Legacy,2016-03-30,5.99,N/A,1929,01:43
Heathen Engineering's Terran,2016-03-21,39.99,N/A,701,13:51
Mines of Mars,2015-12-18,6.99,N/A,10169,01:13
Rothschild: The Sheep Will Wake,2015-11-23,9.99,N/A,701,00:14
Cannibal,2015-10-28,13.99,N/A,799,00:09
CRYPTARK,2015-10-07,14.99,88,12449,03:14
Sketch Tales,2015-09-28,9.99,75,3682,02:37
Fishing Planet,2015-08-11,Free,49,1622193,08:47
Temporal Shift,2015-07-16,9.99,N/A,1027,58:01
Shadows Peak,2016-03-18,7.99,N/A,2931,03:28
Barren Roads,2015-06-01,8.99,20,799,02:56
Demise of Nations: Rome,2015-04-21,Free,43,77673,01:45
Voxelized,2015-03-19,Free,4,267735,03:00
KeeperRL,2015-03-31,14.99,78,12098,06:06
Catacomb Kids,2015-02-20,15.99,93,10345,09:38
Urban Legends,2015-01-30,6.99,N/A,9643,01:56
Creativerse,2014-08-12,Free,61,1838906,08:27
Garage Drummer VR,2016-06-21,5.99,N/A,877,00:14
Watson's Watch,2016-06-06,7.99,N/A,5786,00:00
RimWorld,2016-07-15,29.99,96,302276,35:11
Junk Jack,2016-04-27,14.99,88,3331,07:00
Rebirth of Island,2016-04-15,4.99,N/A,7890,03:11
Bullshot,2016-04-07,1.99,54,9994,03:17
CounterAttack,2016-04-21,7.99,N/A,2279,04:56
DAMAGE CONTROL,2016-04-05,4.99,N/A,11221,05:16
Space Pirate Trainer VR,2016-04-05,14.99,96,74342,02:59
Planetoid Pioneers,2016-04-15,39.99,N/A,526,00:34
Cat Simulator,2016-02-12,4.99,N/A,1929,00:14
Sniper Tactical,2016-01-08,4.99,N/A,877,01:37
Marooners,2016-03-24,12.99,78,1753,01:03
Megatect,2015-11-04,7.99,N/A,2104,01:11
Kingdoms,2015-10-23,9.99,18,16832,03:22
Novus Inceptio,2015-10-05,19.99,43,7013,04:14
Shallow Space,2015-10-21,14.99,N/A,10345,00:55
