ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Arma 3,2013-09-12,39.99,75,2568998,163:36
Starbound,2016-07-22,12.74,75,2357720,52:58
Don't Starve Together Beta,2016-04-21,14.99,96,4651443,20:43
Prison Architect,2015-10-06,29.99,90,1851705,27:13
Ghost in the Shell: Stand Alone Complex - First Assault Online,2016-07-28,Free,31,913141,05:19
Kerbal Space Program,2015-04-27,39.99,98,1531896,66:38
Grim Dawn,2016-02-25,24.99,88,560193,53:10
Master of Orion,2016-08-25,29.99,36,111688,29:35
Assetto Corsa,2014-12-19,29.99,69,341551,57:08
Tabletop Simulator,2015-06-05,19.99,88,802856,14:47
Verdun,2015-04-28,24.99,66,490235,15:24
Armello,2015-09-01,19.99,66,146053,14:36
Darkest Dungeon,2016-01-19,24.99,64,906128,25:41
SpeedRunners,2016-04-19,14.99,90,1203845,10:06
Galactic Civilizations III,2015-05-14,39.99,45,282464,38:22
How to Survive 2,2016-09-08,8.99,36,255813,07:12
Broforce,2015-10-15,14.99,98,771296,10:10
DiRT Rally,2015-12-07,59.99,81,336466,20:51
Youtubers Life,2016-05-18,14.99,54,425536,10:35
Lost Castle,2016-08-31,9.99,88,127293,15:33
Life is Feudal: Your Own,2015-11-17,39.99,28,375566,60:43
Red Crucible: Firestorm,2015-12-22,Free,17,1609218,02:39
Nuclear Throne,2015-12-05,11.99,96,346811,26:26
Plague Inc: Evolved,2016-02-18,14.99,90,912264,10:53
Roguelands,2016-06-13,9.99,64,153418,13:55
Atlas Reactor,2016-05-12,Free,49,54354,13:33
Reign Of Kings,2015-12-15,19.99,20,469370,40:17
RUNNING WITH RIFLES,2015-04-02,14.99,78,184276,08:00
sZone-Online,2015-12-29,Free,5,1627102,03:26
Gear Up,2015-01-28,Free,39,1892734,02:38
Savage: Resurrection,2016-08-18,19.99,41,58211,04:56
Turmoil,2016-06-02,9.99,75,133605,08:09
Crypt of the NecroDancer,2015-04-23,14.99,98,539854,11:12
Thea: The Awakening,2015-11-20,19.99,78,78550,30:52
Who's Your Daddy,2016-05-13,4.99,52,597364,03:00
Sheltered,2016-03-15,14.99,49,165691,13:37
Mordheim: City of the Damned,2015-11-19,13.59,32,126591,34:06
Eastside Hockey Manager: Early Access,2015-12-01,19.99,66,136585,71:02
Primal Carnage: Extinction,2015-04-03,19.99,39,97486,47:38
FortressCraft Evolved,2015-11-09,12.99,43,99941,26:15
RWBY: Grimm Eclipse,2016-07-05,19.99,72,203388,05:29
Strife,2015-05-22,Free,45,1315007,06:59
Ashes of the Singularity,2016-03-31,39.99,31,87842,07:27
Viscera Cleanup Detail,2015-10-23,12.99,84,391872,07:31
The Curious Expedition,2016-09-02,14.99,81,30859,07:53
Mini Metro,2015-11-06,9.99,96,250027,10:59
Divinity: Original Sin,2014-06-30,Free,81,1089878,35:27
Move or Die,2016-01-21,14.99,64,161132,04:38
Epistory - Typing Chronicle,2016-03-30,14.99,96,56984,03:21
FaceRig,2015-07-07,14.99,61,290880,05:06
Spooky's House of Jump Scares,2015-07-28,Free,84,962761,01:08
Offworld Trading Company,2016-04-28,39.99,47,143599,09:08
Poly Bridge,2016-07-12,11.99,75,199530,07:12
UBERMOSH,2015-08-13,1.99,81,58211,02:25
War for the Overworld,2015-04-02,29.99,45,152541,13:16
Half dead,2016-08-01,1.99,69,94505,01:29
Naval Action,2016-01-21,39.99,49,78900,68:46
Sorcerer King,2015-07-16,24.99,31,39275,21:53
Victor Vran,2015-07-24,19.99,81,227409,11:22
SolForge,2016-07-25,Free,31,281236,86:33
