ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Team Fortress 2,2007-10-10,Free,90,35072643,74:57
Dota 2,2013-07-09,Free,78,80413038,198:53
HEX: Shards of Fate,2016-04-19,Free,28,172003,12:20
The Lord of the Rings Online,2012-06-06,Free,54,1975491,29:45
Tribes: Ascend,2012-06-27,Free,54,1710211,08:16
Path of Exile,2013-10-23,Free,88,5376451,49:39
PlanetSide 2,2012-11-20,Free,61,6331146,28:24
RIFT,2011-03-01,Free,49,2432939,44:11
Might & Magic: Duel of Champions,2013-11-07,Free,54,597189,30:16
SMITE,2015-09-08,Free,61,3723224,30:39
EverQuest II,2011-12-07,Free,39,531789,33:13
War Thunder,2013-08-15,Free,59,9461213,43:03
Realm of the Mad God,2012-02-20,Free,56,2565667,19:01
Duelyst,2016-08-23,Free,78,180770,04:20
WildStar,2016-06-09,Free,41,690291,05:40
Marvel Heroes 2015,2013-06-03,Free,52,4662665,29:45
Card Hunter,2015-07-13,Free,69,700811,09:45
ArcheAge,2015-03-26,Free,16,1014835,45:53
Altitude,2009-12-04,Free,88,432900,08:08
Bloodline Champions,2011-10-28,Free,69,615774,10:29
Ragnarok,2013-10-31,Free,49,445700,21:28
Rise of Flight: Channel Battles Edition,2013-09-05,Free,13,244416,03:34
TERA,2015-05-05,Free,56,3515277,26:34
Evolve,2015-02-10,Free,25,4263078,09:18
Vindictus,2012-06-22,Free,43,900517,38:54
Super Monday Night Combat,2012-04-19,Free,31,1259777,09:06
Star Trek Online,2012-01-31,Free,45,1490166,81:05
WAKFU,2014-09-18,Free,52,1056038,20:25
Chronicle: RuneScape Legends,2016-05-26,Free,52,270891,07:57
Stronghold Kingdoms,2012-02-27,Free,28,1299578,87:37
Star Conflict,2013-02-27,Free,56,1797176,14:12
Blacklight: Retribution,2012-07-02,Free,45,2664029,13:12
Neverwinter,2013-12-05,Free,47,4133856,25:11
Age of Wushu,2014-03-27,Free,20,47165,02:43
AirBuccaneers,0000-00-00,Free,18,177964,02:26
HAWKEN,2014-02-14,Free,64,3101138,05:42
Loadout,2014-01-31,Free,66,5143081,06:47
Champions Online: Free For All,2011-06-14,Free,43,718345,29:43
DC Universe Online,2011-11-02,Free,56,2268300,25:30
Block N Load Beta,2015-04-30,Free,43,1786130,07:41
Fallen Earth,2012-02-22,Free,15,1820496,09:28
Combat Arms,2012-07-09,Free,19,333486,12:33
Global Agenda,2011-06-14,Free,45,402568,60:37
Tom Clancy's Ghost Recon Phantoms - NA,2014-04-10,Free,34,4101595,29:29
Forsaken World ,2011-06-14,Free,36,367325,100:25
Magicka: Wizard Wars,2015-04-28,Free,64,3379568,03:35
Warframe,2013-03-25,Free,81,12915825,66:45
