ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
EVE Online,2010-12-15,19.99,59,344883,145:22
The Lord of the Rings Online,2012-06-06,Free,54,1975491,29:45
Path of Exile,2013-10-23,Free,88,5376451,49:39
RIFT,2011-03-01,Free,49,2432939,44:11
PlanetSide 2,2012-11-20,Free,61,6331146,28:24
FINAL FANTASY XIV: A Realm Reborn,2014-02-18,19.99,69,461305,198:44
EverQuest II,2011-12-07,Free,39,531789,33:13
WildStar,2016-06-09,Free,41,690291,05:40
Realm of the Mad God,2012-02-20,Free,56,2565667,19:01
War Thunder,2013-08-15,Free,59,9461213,43:03
Marvel Heroes 2015,2013-06-03,Free,52,4662665,29:45
Elite: Dangerous,2015-04-02,29.99,26,819863,60:27
ArcheAge,2015-03-26,Free,16,1014835,45:53
iRacing,2015-01-12,9.99,69,15955,39:35
Ragnarok,2013-10-31,Free,49,445700,21:28
Bloodline Champions,2011-10-28,Free,69,615774,10:29
TERA,2015-05-05,Free,56,3515277,26:34
WAKFU,2014-09-18,Free,52,1056038,20:25
Star Trek Online,2012-01-31,Free,45,1490166,81:05
Vindictus,2012-06-22,Free,43,900517,38:54
Star Conflict,2013-02-27,Free,56,1797176,14:12
Stronghold Kingdoms,2012-02-27,Free,28,1299578,87:37
Neverwinter,2013-12-05,Free,47,4133856,25:11
Cloud Chamber,2014-08-07,19.99,23,22969,03:45
The Secret World,2012-08-08,29.99,64,321037,44:48
Age of Wushu,2014-03-27,Free,20,47165,02:43
Champions Online: Free For All,2011-06-14,Free,43,718345,29:43
Block N Load Beta,2015-04-30,Free,43,1786130,07:41
DC Universe Online,2011-11-02,Free,56,2268300,25:30
The Crew,2014-12-01,29.99,28,314024,41:41
Fallen Earth,2012-02-22,Free,15,1820496,09:28
Global Agenda,2011-06-14,Free,45,402568,60:37
Forsaken World ,2011-06-14,Free,36,367325,100:25
CrimeCraft GangWars,2011-08-22,Free,10,735878,07:16
Prime World,2014-03-31,Free,22,526529,32:41
Dragon Saga,2015-12-22,Free,31,233370,05:53
Ryzom,2016-05-06,Free,16,95031,03:23
Defiance,2014-06-04,Free,47,3182142,16:39
Spiral Knights,2011-06-14,Free,61,2497462,21:55
Dragon's Prophet (EU),2013-09-18,Free,38,216363,15:46
Dragon's Prophet,2013-09-23,Free,24,134306,18:11
Devilian,2015-12-10,Free,18,366799,14:55
Spellweaver,2016-02-01,Free,41,158678,08:36
SAGA,2015-08-04,Free,9,81004,00:58
Firefall,2014-07-29,Free,28,2840591,12:56
The Castle Doctrine,2014-01-29,15.99,10,15429,14:50
Shattered Skies,2016-07-21,24.99,N/A,38223,23:14
Nether,2014-06-05,4.99,9,664166,11:17
Galaxy Control: 3D Strategy,2016-08-10,Free,6,81706,04:07
BattleStick,2016-05-06,Free,5,192517,00:36
H1Z1: King of the Kill Test Server,2016-02-24,Free,23,2693836,01:52
Lost World Zero,2016-02-12,9.99,7,9819,02:43
World of Soccer online,2015-08-26,Free,23,302802,02:21
Blitzkrieg 3,2015-05-06,26.99,26,36645,27:18
Asteroids: Outpost,2015-03-26,29.99,3,2630,00:49
Amazing World,2014-08-07,Free,43,550900,02:31
Lineage II,2015-11-12,Free,11,83108,23:50
Audition Online,2015-06-03,Free,24,341551,06:54
Ancients of Fasaria: Celestias Angelica MMORPG,2015-02-27,3.99,N/A,14027,04:55
The Four Kings Casino and Slots,2015-06-01,Free,34,309991,04:59
Age of Conan: Unchained - US version,2013-02-22,Free,36,180945,18:14
Big Bang Empire,2016-08-23,Free,N/A,32086,04:49
UFO Online: Invasion,2016-06-08,Free,12,127994,03:01
Khan: Absolute Power,2016-03-18,Free,9,58912,22:53
Pixel Survival - Craft Game,2016-01-14,0.99,7,8591,00:30
MicroVolts Surge,2012-07-05,Free,34,746573,07:12
LOKA - League of keepers Allysium,2016-08-02,29.99,N/A,514,01:14
Islet Online,2016-02-01,24.99,59,5085,16:04
Manyland,2015-12-07,8.99,64,8065,31:11
Ancients of Fasaria: Chess Club,2015-11-04,9.99,N/A,13325,03:13
Minimon,2015-03-25,9.99,20,9468,04:47
BattleSpace,2015-01-07,Free,3,113091,00:37
Line of Defense MMO,2014-09-16,9.99,0,1578,159:58
Prominence Poker,2016-05-18,Free,38,149911,03:18
Elite Dangerous: Arena,2016-02-16,7.49,9,278431,01:46
MechWarrior Online,2015-12-10,Free,47,819162,16:41
ABD: A Beautiful Day,2015-08-14,4.99,N/A,514,00:00
Out of Reach,2015-06-08,14.99,31,49444,13:17
Oort Online,2014-11-13,34.99,28,11923,05:17
Requiem,2015-03-04,Free,18,220395,04:30
Kings Bounty: Legions,2013-12-10,Free,12,208998,20:02
Legends of Azulgar,2016-08-18,Free,N/A,5260,00:06
Riding Out,2016-05-25,19.99,N/A,2131,01:02
World of Fishing,2016-09-06,Free,9,33840,01:09
Paradise Island - VR MMO,2015-12-23,0.99,15,264579,07:10
Astro Lords,2015-09-29,Free,28,59263,04:23
Uncrowded,2015-05-11,0.99,2,253358,02:25
Angels of Fasaria RPG + MMORPG,2014-12-09,12.99,22,25774,03:58
Darkwind: War on Wheels,2014-08-22,Free,6,201284,02:06
ROSE Online,2012-10-23,Free,31,413088,11:14
90 Minute Fever,2016-07-12,5.99,49,533,98:16
Tree of Savior (English Ver.),2016-03-28,Free,18,1458080,50:32
Tom Clancy's EndWar Online,2016-01-25,Free,4,250553,02:07
Piercing Blow,2015-11-10,Free,7,440966,08:15
Nebula Online,2016-01-05,4.99,7,80478,05:23
16 Bit Arena,2015-03-24,Free,32,108532,00:50
Fiesta Online NA,2014-05-20,Free,14,346636,14:17
La Tale,2014-06-17,Free,22,712734,04:46
DayZ,2013-12-16,34.99,32,3432344,76:31
Zezenia Online,2016-07-07,Free,32,41204,02:43
SurrealVR,2016-04-15,Free,N/A,44184,00:40
CABAL Online,2016-02-17,Free,18,169373,12:58
Sphere III: Enchanted World,2015-12-02,Free,8,114318,01:46
Karos Returns,2015-07-30,Free,38,124838,08:49
Cubic Castles,2014-08-13,Free,34,850196,05:45
Voice Of Pripyat,2014-11-19,6.99,7,6663,02:43
Elemental Heroes,2016-03-03,Free,16,59964,02:43
Heroes of Scene,2015-08-26,Free,12,233545,01:05
Break_In,2015-04-29,9.99,N/A,1066,01:30
The Slaughtering Grounds,2014-10-31,0.99,4,208648,03:23
Epic Space: Online,2014-05-08,14.99,1,2279,06:00
Panzar,2013-11-25,Free,24,1034998,09:52
C9,2012-09-13,Free,41,549322,10:43
Heroes of Shadow Guard,2016-08-03,Free,N/A,11046,00:42
UFO Online,2014-10-10,Free,N/A,1599,03:52
Infinity Wars - Animated Trading Card Game,2014-09-05,Free,56,572992,14:32
Age of Conan: Unchained - EU version,2013-02-22,Free,36,402743,15:58
Thanatos,2016-08-24,Free,5,21391,01:35
