ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
BioShock,2007-08-21,19.99,90,3460573,07:16
The Elder Scrolls IV: Oblivion ,2009-06-16,14.99,93,1613075,29:17
Divinity: Original Sin - Enhanced Edition,2015-10-27,19.99,75,1089878,22:10
Mass Effect 2,2010-01-26,19.99,93,1643233,39:42
The Elder Scrolls V: Skyrim,2011-11-10,19.99,88,10743433,112:21
The Witcher 3: Wild Hunt,2015-05-18,39.99,96,2023884,67:43
Undertale,2015-09-15,9.99,96,1891682,15:24
System Shock 2,2013-05-10,9.99,90,716416,04:38
DARK SOULS II,2014-04-25,39.99,72,1026407,84:44
Dragon Age: Origins,2009-11-05,19.99,88,795492,54:13
Deus Ex: Human Revolution - Director's Cut,2013-10-25,19.99,81,1381634,16:34
The Longest Journey,2007-05-01,9.99,90,205316,07:56
Fallout 3,2008-10-28,9.99,54,729391,16:30
Dragon Age: Origins - Ultimate Edition,2010-10-26,29.99,88,1088300,37:34
Fallout 3 - Game of the Year Edition,2009-12-17,19.99,59,2210439,17:59
Freedom Force,2009-05-29,4.99,22,246695,02:51
Mass Effect,2008-12-19,19.99,90,1476139,23:08
Pillars of Eternity,2015-03-26,44.99,72,787251,37:35
The Elder Scrolls III: Morrowind,2009-06-16,14.99,93,1044466,15:57
Fallout,2009-08-19,9.99,88,789355,05:59
Borderlands 2,2012-09-17,19.99,96,6511039,59:05
The Witcher 2: Assassins of Kings Enhanced Edition,2012-04-16,19.99,72,4172430,15:01
Sid Meier's Pirates!,2005-07-11,9.99,90,742541,11:02
Torchlight II,2012-09-20,19.99,93,3172674,25:05
EVE Online,2010-12-15,19.99,59,344883,145:22
Stardew Valley,2016-02-26,14.99,98,1489640,43:22
Nuclear Throne,2015-12-05,11.99,96,346811,26:26
Crypt of the NecroDancer,2015-04-23,14.99,98,539854,11:12
HEX: Shards of Fate,2016-04-19,Free,28,172003,12:20
Divinity: Original Sin,2014-06-30,Free,81,1089878,35:27
Wasteland 2,2014-09-18,39.99,56,604553,35:39
Dying Light,2015-01-26,59.99,84,1460710,35:09
Shadowrun: Dragonfall - Director's Cut,2014-09-18,14.99,81,611391,15:19
Bastion,2011-08-16,14.99,98,2210790,06:03
Dungeon Siege,2011-04-05,6.99,45,347513,06:17
The Witcher: Enhanced Edition,2008-09-19,9.99,64,2967007,15:55
Fallout 2,2009-08-19,9.99,88,818636,11:16
Path of Exile,2013-10-23,Free,88,5376451,49:39
Age of Wonders 2,2010-10-01,9.99,38,78024,24:25
Wasteland 2: Director's Cut,2014-09-18,39.99,N/A,604553,19:20
The Lord of the Rings Online,2012-06-06,Free,54,1975491,29:45
Chaos Reborn,2015-10-26,19.99,47,50321,14:56
Rogue Legacy,2013-06-27,14.99,90,1209456,14:56
Wizardry 8,2013-09-10,9.99,88,105727,13:54
The Legend of Heroes: Trails in the Sky,2014-07-29,19.99,84,196374,20:46
Dark Souls: Prepare to Die Edition,2012-08-23,19.99,75,2630716,43:09
System Shock: Enhanced Edition,2015-10-22,9.99,84,48743,03:12
Star Wars: Knights of the Old Republic II,2012-08-23,9.99,69,1927976,18:25
RIFT,2011-03-01,Free,49,2432939,44:11
Darkest Dungeon,2016-01-19,24.99,64,906128,25:41
Fallout 4,2015-11-09,59.99,47,3426383,101:25
The Binding of Isaac,2011-09-28,4.99,96,2855319,30:15
FINAL FANTASY IX,2016-04-14,20.99,81,149911,22:38
Fallout: New Vegas,2010-10-19,9.99,93,4384760,58:44
Hyper Light Drifter,2016-03-31,19.99,88,184627,07:54
Salt and Sanctuary,2016-05-17,17.99,84,99590,12:32
Deus Ex: Mankind Divided,2016-08-23,59.99,24,315426,19:25
Silent Storm,2013-10-02,2.49,81,100642,10:28
Transistor,2014-05-20,19.99,93,1052181,04:58
Puzzle Quest 2,2010-08-12,9.99,56,69082,39:52
Terraria,2011-05-16,9.99,96,7650186,76:52
Grim Dawn,2016-02-25,24.99,88,560193,53:10
Fable - The Lost Chapters,2011-12-19,9.99,84,653120,10:55
EverQuest II,2011-12-07,Free,39,531789,33:13
Valdis Story: Abyssal City,2013-10-30,14.99,66,173406,07:38
FINAL FANTASY XIV: A Realm Reborn,2014-02-18,19.99,69,461305,198:44
DarkMaus,2016-01-26,6.69,78,12975,04:02
SteamWorld Heist,2016-06-07,19.99,99,18585,09:34
Torchlight,2009-10-27,14.99,88,1356912,17:05
WildStar,2016-06-09,Free,41,690291,05:40
Legend of Grimrock,2012-04-11,14.99,93,911563,09:08
Avadon 2: The Corruption,2013-10-30,9.99,64,62594,13:18
King's Bounty: Armored Princess,2009-11-19,9.99,81,349091,18:14
Endless Legend,2014-09-18,29.99,59,770244,25:55
Age of Wonders: Shadow Magic,2010-10-01,9.99,69,108532,28:35
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,19.99,90,967319,11:52
Recettear: An Item Shop's Tale,2010-09-10,19.99,98,448856,14:18
The Banner Saga 2,2016-04-19,19.99,88,74342,12:50
Crusader Kings II,2012-02-14,39.99,84,1304838,109:54
Desktop Dungeons,2013-11-07,14.99,81,98187,24:38
Realm of the Mad God,2012-02-20,Free,56,2565667,19:01
Dragon Age: Origins - Awakening,2010-03-16,9.99,88,150261,00:21
