ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Out of the Park Baseball 17,2016-03-22,39.99,84,17533,123:06
Thief Gold,2012-05-22,6.99,81,754463,03:01
Out of the Park Baseball 16,2015-03-23,19.99,90,26300,103:44
Silent Hunter III,2008-06-13,9.99,72,115370,20:22
Out of the Park Baseball 15,2014-04-24,19.99,98,38223,81:16
Rise of Nations: Extended Edition,2014-06-12,19.99,81,608235,18:44
Kerbal Space Program,2015-04-27,39.99,98,1531896,66:38
Stardew Valley,2016-02-26,14.99,98,1489640,43:22
Thief 2,2012-05-22,6.99,93,448856,03:57
Europa Universalis IV,2013-08-13,39.99,81,992567,185:00
DiRT 3 Complete Edition,2015-04-01,29.99,72,1248731,06:17
DiRT Rally,2015-12-07,59.99,81,336466,20:51
Her Story,2015-06-24,5.99,78,261599,03:06
IL-2 Sturmovik: 1946,2008-06-13,9.99,81,227409,14:51
DiRT 3,2011-05-23,24.99,N/A,950487,08:07
The Sims(TM) 3,2011-01-27,19.99,64,950663,65:54
F1 2016,2016-08-18,59.99,78,61893,18:57
Pacific Fighters,2008-06-13,9.99,81,3507,02:16
Homeworld Remastered Collection,2015-02-25,34.99,64,547744,13:46
Startopia,2013-10-10,6.99,69,187257,03:53
Falcon 4.0,2016-01-08,6.99,N/A,5085,00:36
Assetto Corsa,2014-12-19,29.99,69,341551,57:08
Cities: Skylines,2015-03-10,29.99,88,2531652,36:27
GT Legends,2012-11-28,7.99,75,113967,02:21
ABZU,2016-08-02,19.99,88,75569,02:35
Pinball FX2,2013-05-10,Free,72,438336,08:54
Spore,2008-12-19,19.99,69,1384966,18:17
FTL: Faster Than Light,2012-09-14,9.99,96,2479051,26:34
F1 2010,2010-09-21,9.99,34,82232,29:21
Ultimate General: Gettysburg,2014-10-16,14.99,64,272469,09:50
Hearts of Iron IV,2016-06-06,39.99,54,315602,66:24
This War of Mine,2014-11-14,4.99,93,1331839,13:06
Prison Architect,2015-10-06,29.99,90,1851705,27:13
Universe Sandbox,2011-04-29,9.99,54,754639,06:15
Project CARS,2015-03-15,29.99,43,467091,28:56
Independence War 2: Edge of Chaos,2015-05-07,5.99,N/A,2455,06:39
F1 2011,2011-09-19,14.99,38,61718,25:33
Don't Starve Together Beta,2016-04-21,14.99,96,4651443,20:43
Door Kickers,2014-10-20,19.99,93,359435,06:36
Hacknet,2015-08-12,9.99,84,191114,05:18
B-17 Flying Fortress: The Mighty 8th,2014-10-30,6.99,N/A,12624,00:49
The Guild Gold Edition,2014-09-09,9.99,25,128169,04:03
Dawn of Discovery,2009-06-23,9.99,69,86264,20:18
War Thunder,2013-08-15,Free,59,9461213,43:03
Crusader Kings II,2012-02-14,39.99,84,1304838,109:54
Distant Worlds: Universe,2014-05-23,59.99,49,53302,51:30
Overcooked,2016-08-03,16.99,78,31210,03:33
Stronghold 2,2013-10-21,5.99,88,326823,09:27
Football Manager 2016,2015-11-12,49.99,36,1046921,278:23
Lone Survivor: The Director's Cut,2012-04-23,14.99,72,568434,01:05
Age of Empires III: Complete Collection,2012-01-05,39.99,78,1773331,24:12
Waveform,2012-03-20,1.99,59,464285,02:24
Stronghold HD,2013-10-21,5.99,88,878425,08:33
Order of Battle : Pacific,2015-04-30,Free,38,90122,23:40
RollerCoaster Tycoon 3: Platinum!,2008-03-12,19.99,72,719572,17:23
Stronghold Legends,2013-10-21,5.99,88,326648,08:00
Galactic Civilizations III,2015-05-14,39.99,45,282464,38:22
"Codename: Panzers, Phase One",2016-02-18,14.99,N/A,7013,10:43
Football Manager 2015,2014-11-01,49.99,47,1090229,392:17
Lovers in a Dangerous Spacetime,2015-09-09,14.99,93,114143,04:27
Elite: Dangerous,2015-04-02,29.99,26,819863,60:27
The Corporate Machine,2015-03-25,9.99,N/A,7013,06:52
Bowl Bound College Football,2015-09-03,19.99,N/A,6312,17:35
LUFTRAUSERS,2014-03-18,9.99,81,335414,03:34
"Codename: Panzers, Phase Two",2016-02-18,14.99,N/A,7364,06:04
F1 2012,2012-09-17,19.99,78,318232,41:54
Franchise Hockey Manager 2,2015-09-28,19.99,28,6663,89:09
Euro Truck Simulator 2,2013-01-16,22.99,98,2969637,62:00
Tropico 3 - Steam Special Edition,2009-10-20,9.99,69,1354457,08:44
Silent Hunter: Wolves of the Pacific,2008-06-13,9.99,31,72062,17:46
Offworld Trading Company,2016-04-28,39.99,47,143599,09:08
iRacing,2015-01-12,9.99,69,15955,39:35
Don't Starve,0000-00-00,14.99,98,3457066,22:46
The Magic Circle,2015-07-09,19.99,84,90823,03:14
State of Decay,2013-11-05,Free,66,991165,17:55
Stellaris,2016-05-09,39.99,64,571064,53:38
Tropico 4,2011-09-01,14.99,84,1737037,21:04
Five Nights at Freddy's,2014-08-19,4.99,72,802505,03:56
Stronghold Crusader HD,2013-10-21,9.99,93,714663,13:03
Wings of Prey,2010-01-08,9.99,39,146579,22:00
Rocksmith,2012-10-16,29.99,88,186906,23:45
Rise of Flight: Channel Battles Edition,2013-09-05,Free,13,244416,03:34
Reigns,2016-08-11,2.99,84,111688,02:52
Nexus: The Jupiter Incident,2007-07-03,9.99,64,73290,10:02
Xenonauts,2014-06-16,24.99,78,210226,27:25
ACE COMBAT ASSAULT HORIZON Enhanced Edition,2013-01-24,19.99,19,275976,05:48
The Sims(TM) Medieval,2011-05-19,Free,3,67153,14:44
