ime,datum_izdaje,cena,ocena_steam,stevilo_igralcev,igralni_cas
Out of the Park Baseball 17,2016-03-22,39.99,84,17533,123:06
Out of the Park Baseball 16,2015-03-23,19.99,90,26300,103:44
NBA 2K13,2012-10-30,29.99,54,100116,82:38
Out of the Park Baseball 15,2014-04-24,19.99,98,38223,81:16
Rocket League,2015-07-07,14.99,88,3929943,59:06
F1 2016,2016-08-18,59.99,78,61893,18:57
DiRT 3 Complete Edition,2015-04-01,29.99,72,1248731,06:17
DiRT 3,2011-05-23,24.99,N/A,950487,08:07
DiRT Rally,2015-12-07,59.99,81,336466,20:51
NBA 2K12,2011-10-04,19.99,61,37171,101:19
Assetto Corsa,2014-12-19,29.99,69,341551,57:08
SpeedRunners,2016-04-19,14.99,90,1203845,10:06
GT Legends,2012-11-28,7.99,75,113967,02:21
F1 2010,2010-09-21,9.99,34,82232,29:21
F1 2011,2011-09-19,14.99,38,61718,25:33
Project CARS,2015-03-15,29.99,43,467091,28:56
Pro Evolution Soccer 2015,2014-11-13,19.99,28,128871,116:13
OlliOlli2: Welcome to Olliwood,2015-08-11,14.99,66,54880,02:23
Monday Night Combat,2011-01-24,4.99,49,301750,11:31
Lethal League,2014-08-27,13.99,93,454291,04:48
TrackMania Canyon,2013-02-27,19.99,78,162535,13:15
Nidhogg,2014-01-13,14.99,66,626469,02:52
AaAaAA!!! - A Reckless Disregard for Gravity,2009-09-03,9.99,64,172178,01:43
Football Manager 2016,2015-11-12,49.99,36,1046921,278:23
F1 2012,2012-09-17,19.99,78,318232,41:54
Football Manager 2015,2014-11-01,49.99,47,1090229,392:17
GRID 2,2013-05-27,29.99,54,999756,13:11
Bowl Bound College Football,2015-09-03,19.99,N/A,6312,17:35
Frozen Cortex,2015-02-19,24.99,39,54178,04:41
iRacing,2015-01-12,9.99,69,15955,39:35
Sonic & All-Stars Racing Transformed,2013-01-31,19.99,93,774452,08:45
VIDEOBALL,2016-07-12,9.99,64,2805,02:56
