ime,zanr,datum_izdaje,cena,ocena_steam,stevilo_igralcev
Dota 2,Action,2013-07-09,Free,78,80413038
Counter-Strike: Global Offensive,Action,2012-08-21,14.99,84,23360138
Team Fortress 2,Action,2007-10-10,Free,90,35072643
Unturned,Action,2014-07-07,Free,84,24423365
Grand Theft Auto V,Action,2015-04-13,59.99,56,4990364
Garry's Mod,Action,2006-11-29,9.99,93,11944824
Sid Meier's Civilization V,Action,2010-09-21,29.99,96,9165425
Rocket League,Action,2015-07-07,14.99,88,3929943
ARK: Survival Evolved,Action,2015-06-02,29.99,31,3628894
The Elder Scrolls V: Skyrim,Action,2011-11-10,19.99,88,10743433
Warframe,Action,2013-03-25,Free,81,12915825
Fallout 4,Action,2015-11-09,59.99,48,3426383
Rust,Action,2013-12-11,19.99,54,4357408
Football Manager 2016,Action,2015-11-12,49.99,36,1046921
Arma 3,Action,2013-09-12,39.99,75,2568998
Terraria,Action,2011-05-16,9.99,96,7650186
Dead by Daylight,Action,2016-06-14,19.99,N/A,943298
War Thunder,Action,2013-08-15,Free,59,9461213
PAYDAY 2,Action,2013-08-13,19.99,48,6732311
Path of Exile,Action,2013-10-23,Free,88,5376451
Left 4 Dead 2,Action,2009-11-16,19.99,96,14472092
Counter-Strike,Action,2000-11-01,9.99,98,12522725
Euro Truck Simulator 2,Action,2013-01-16,22.99,98,2969637
Clicker Heroes,Action,2015-05-13,Free,78,4117550
The Witcher 3: Wild Hunt,Action,2015-05-18,39.99,96,2023884
H1Z1: King of the Kill,Action,2016-02-17,19.99,28,2693836
Tom Clancy's Rainbow Six Siege,Action,2015-12-01,49.99,43,837572
SMITE,Action,2015-09-08,Free,61,3723224
Heroes & Generals,Action,2014-07-11,Free,28,10385050
Borderlands 2,Action,2012-09-17,19.99,96,6511039
Deus Ex: Mankind Divided,Action,2016-08-23,59.99,24,315426
Brawlhalla,Action,2014-04-30,Free,75,3915741
Cities: Skylines,Action,2015-03-10,29.99,88,2531652
Call of Duty: Black Ops III,Action,2015-11-05,59.99,15,1231022
Mount & Blade: Warband,Action,2010-03-31,19.99,96,2302315
Total War: WARHAMMER,Action,2016-05-24,59.99,31,845813
Trove,Action,2015-07-09,Free,48,6389707
Starbound,Action,2016-07-22,12.74,75,2357720
Counter-Strike: Source,Action,2004-11-01,19.99,93,14736496
Evolve,Action,2015-02-10,Free,25,4263078
DARK SOULS III,Action,2016-04-11,59.99,56,1062175
No Man's Sky,Action,2016-08-12,59.99,4,760074
The Binding of Isaac: Rebirth,Action,2014-11-04,14.99,98,1529441
AdVenture Capitalist,Action,2015-03-30,Free,78,3662207
Total War: ROME II - Emperor Edition,Action,2013-09-02,44.99,46,2319147
Don't Starve Together Beta,Action,2016-04-21,14.99,96,4651443
Europa Universalis IV,Action,2013-08-13,39.99,81,992567
Robocraft,Action,2014-07-08,Free,39,10425201
Age of Empires II: HD Edition,Action,2013-04-09,19.99,84,3511595
Crusader Kings II,Action,2012-02-14,39.99,84,1304838
DayZ,Action,2013-12-16,34.99,32,3432344
7 Days to Die,Action,2013-12-13,24.99,52,1560124
Stardew Valley,Action,2016-02-26,14.99,98,1489640
Hearts of Iron IV,Action,2016-06-06,39.99,54,315602
RimWorld,Action,2016-07-15,29.99,96,302276
Titan Quest Anniversary Edition,Action,2016-08-31,19.99,N/A,1670410
Prison Architect,Action,2015-10-06,29.99,90,1851705
Warface,Action,2014-07-01,Free,36,5554064
Company of Heroes 2,Action,2013-06-25,29.99,43,1833471
Stellaris,Action,2016-05-09,39.99,64,571064
Killing Floor 2,Action,2015-04-21,29.99,52,904900
The Forest,Action,2014-05-30,14.99,78,2228849
Counter-Strike Nexon: Zombies,Action,2014-10-07,Free,24,6302566
Factorio,Action,2016-02-25,20,99,551251
Call of Duty: Black Ops II - Multiplayer,Action,2012-11-12,59.99,N/A,2897750
Tree of Savior (English Ver.),Action,2016-03-28,Free,18,1458080
XCOM 2,Action,2016-02-04,59.99,43,948032
Football Manager 2015,Action,2014-11-01,49.99,48,1090229
Dirty Bomb,Action,2015-06-01,Free,43,5276510
Elite: Dangerous,Action,2015-04-02,29.99,26,819863
DOOM,Action,2016-05-12,59.99,78,1023251
Space Engineers,Action,2013-10-23,24.99,75,1989343
Insurgency,Action,2014-01-22,4.99,81,2831298
Subnautica,Action,2014-12-16,19.99,84,908933
Riders of Icarus,Action,2016-07-06,Free,20,1275557
PlanetSide 2,Action,2012-11-20,Free,61,6331146
